,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
ほん,0,0.1632494636,0.400780274,0,0,0.1296061774,0,0,0.2754454201,0.259788834
一,0,0.6148602781,0.400780274,0,0,0.6277629518,0,0,1.0219325365,0.7793665021
おさらい,0,0,0,0,0,0,0,0,0,0.3699733005
えと,0,0,0,0,0,0,0,0,0,0.3699733005
最初,0,0.4309277044,0,0,0,0.5967909079,0,0,0.8857047144,0.3004546422
ネタ,0,0,0,0,0,0,0,0,0,0.3699733005
僕,0,0.2308753352,0,0,0,0.1513220336,0,0,0.2985777416,1.2018185689
英語,0.3810444522,0.3990551168,1.4063378296,0.3562979943,0.1952891842,0.2825113846,0.4459593854,0.2500487231,0.3563038605,1.6165518878
旅行,1.1644516518,0.4810472228,0.3131349747,1.2096727501,1.4749863651,0.8373511708,1.2896671424,0.5756466658,0.6007973255,1.1546799199
こと,1.0298156236,0.8039568541,0.6509440154,1.0439094195,1.0239608962,0.6637865132,0.6222669201,0.822001148,0.5725223573,1.6165518878
ビジネス,0,0,0,0,0,0,0,0,0,0.3699733005
活用,0,0,0,0,0,0,0,0,0,0.3699733005
あれ,0,0,0,0,0,0,0,0,0,0.739946601
ばー,0,0,0,0,0,0,0,0,0,0.3699733005
子供,0,0,0,0,0,0,0,0,0,1.1099199014
双子,0,0,0,0,0,0,0,0,0,0.739946601
６,0,0,0,0,0,0,0,0,0,0.3699733005
その子,0,0,0,0,0,0,0,0,0,0.3699733005
日本,0,0.2485746342,2.0039013702,0,0,0.2466851792,0,0,0.1338074378,0.5195776681
場,0.5227937724,0,0,0.6206014152,0.4658401577,0,0.0323232147,0,0,0.3004546422
勉強,0,0,0.4635160487,0,0,0,0,0,0,1.2018185689
仕事,0,0,0,0,0,0,0,0,0,0.3699733005
合間,0,0,0,0,0,0,0,0,0,0.3699733005
情報,0.6042391157,0.4352746105,1.3962552805,1.4455406167,0.5687966296,0.3592326879,1.6551678325,0.3846071955,0.251339193,0.9237439359
発信,0,0,0,0,0,0,0,0,0,0.739946601
外国人,0,0.1623576703,1.6031210962,0,0,0.1279742605,0,0,0.2772872741,0.7793665021
友達,0,0.211358572,0.400780274,0,0,0.1276844448,0,0,0.2557410749,1.2989441702
無作為,0,0,0,0,0,0,0,0,0,0.3699733005
変,0,0.0821078347,0,0,0,0.1860102558,0,0,0.3340552559,0.6009092845
事件,0,0,0,0,0,0,0,0,0,0.3699733005
人,4.1169814782,1.4374647649,6.488672554,2.1918347045,2.5269241178,2.8752722872,4.3530688885,3.7425234364,2.8158071643,4.6187196795
風,0,0,0.9270320974,0,0,0,0,0,0,1.2018185689
安全面,0,0,0,0,0,0,0,0,0,0.739946601
コミュニティ,0,0,0.4635160487,0,0,0,0,0,0,0.3004546422
こちら側,0,0,0,0,0,0,0,0,0,0.3699733005
神戸,0,0.366060305,0,0,0,0.1037035106,0,0,0.2805934449,3.0045464223
国際都市,0,0,0,0,0,0,0,0,0,0.3699733005
外国,0,0.2195686569,1.2023408221,0,0,0.1233905944,0,0,0.2558901971,1.8185218383
ほとんど,0,0,0,0,0,0,0,0,0,0.3699733005
本当,0,0,0,0,0,0,0,0,0,1.1099199014
日本語,0,0,0,0,0,0,0,0,0,1.4798932019
接点,0,0,0,0,0,0,0,0,0,0.3699733005
いろいろ,0,0,0.4635160487,0,0,0,0,0,0,0.3004546422
壁,0,0,0,0,0,0,0,0,0,0.3699733005
融合,0,0,0,0,0,0,0,0,0,0.3699733005
出会い系,0,0.545769655,0,0,0,0.8155072413,0,0,1.1762339696,0.3004546422
今回,0,0,0,0,0,0,0,0,0,0.3699733005
案,0,0.1751795342,0,0,0,0.1799155341,0,0,0.2980400748,0.3004546422
絵,0,0.3866824705,0,0,0,0.1914294578,0,0,0.7290367673,0.3004546422
両者,0,0,0,0,0,0,0,0,0,0.3699733005
何か,0,0.1754987637,0,0,0,0.1794881302,0,0,0.298276498,0.3004546422
知恵,0,0,0,0,0,0,0,0,0,0.3699733005
拝借,0,0,0,0,0,0,0,0,0,0.3699733005
深堀,0,0,0,0,0,0,0,0,0,0.3699733005
してい,0,0,0,0,0,0,0,0,0,0.3699733005
意見,0,0,0,0,0,0,0,0,0,0.739946601
観光客,0,0.211358572,0.400780274,0,0,0.1276844448,0,0,0.2557410749,1.2989441702
一つ,0,0,0,0,0,0,0,0,0,0.3699733005
街,0,0,0,0,0,0,0,0,0,1.1099199014
昔,0,0,0,0,0,0,0,0,0,0.3699733005
震災,0,0,0,0,0,0,0,0,0,0.3699733005
あそこ,0,0,0,0,0,0,0,0,0,0.3699733005
もの,0,0,0.9270320974,0,0,0,0,0,0,0.3004546422
紙,0,0,0,0,0,0,0,0,0,0.3699733005
きっかけ,0,0,0.4635160487,0,0,0,0,0,0,0.3004546422
今,0,0.4941802705,0.8015605481,0,0,0.2142265768,0,0,0.9789644453,0.259788834
高校,0,0,0,0,0,0,0,0,0,0.3699733005
時,0,0,0.4635160487,0,0,0,0,0,0,0.9013639267
相手,0,0.175484837,0,0,0,0.179372866,0,0,0.2983847605,0.3004546422
回数,0,0,0,0,0,0,0,0,0,0.3699733005
TOEIC,0,0,0,0,0,0,0,0,0,0.3699733005
機会,0,0,0,0,0,0,0,0,0,0.3699733005
英会話,0,0,0.4635160487,0,0,0,0,0,0,2.1031824956
教室,0,0,0,0,0,0,0,0,0,0.739946601
お金,0,0,0,0,0,0,0,0,0,0.3699733005
週,0,0,0,0,0,0,0,0,0,0.3699733005
毎日,0,0,0,0,0,0,0,0,0,0.3699733005
頻度,0,0,0,0,0,0,0,0,0,0.3699733005
何回,0,0,0,0,0,0,0,0,0,0.3699733005
環境,0,0,0,0,0,0,0,0,0,0.3699733005
中,0,0.1951232658,0,0,0,0.171744265,0,0,0.2964017713,0.3004546422
組織,0,0,0,0,0,0,0,0,0,0.3699733005
海外,0,0.1727542527,1.6031210962,0,0,0.141740481,0,0,0.2604714342,0.5195776681
留学,0,0.180106924,0,0,0,0.1759982058,0,0,0.2993164159,0.3004546422
大学生,0,0,0,0,0,0,0,0,0,0.3699733005
休学,0,0,0,0,0,0,0,0,0,0.3699733005
アメリカ,0,0,0,0,0,0,0,0,0,0.3699733005
シアトル,0,0,0,0,0,0,0,0,0,0.3699733005
自分,0.141999908,0.8927416927,0,0.1929139682,0.7900447301,1.2650761031,0.102080005,0,0.7968012479,0.5195776681
NOVA,0,0,0,0,0,0,0,0,0,0.3699733005
方,1.6368826201,0,2.4046816442,1.3532585064,0.4008546289,0,1.6722413666,0,0,0.259788834
いっぱい,0,0,0,0,0,0,0,0,0,0.3699733005
私,0.256871443,0.4440696002,0.3131128585,0.2468546256,0.3984003717,0.5322888516,0.2319523561,0.5759418213,0.4758922528,0.230935984
チーム,0,0,0,0,0,0,0,0,0,0.3699733005
ガイドブック,0,0.1832055295,0,0,0,0.1669446095,0,0,0.3059546048,0.3004546422
観光,0,0.2967399069,2.0039013702,0,0,0.3099574873,0,0,0.5191975291,0.5195776681
ホームページ,0,0,0,0,0,0,0,0,0,0.3699733005
発展,0,0,0,0,0,0,0,0,0,0.3699733005
定番,0,0,0,0,0,0,0,0,0,0.3699733005
スポット,0,0,0.4635160487,0,0,0,0,0,0,0.6009092845
コミュニケーション,0,0,1.8540641947,0,0,0,0,0,0,0.6009092845
文化,0,0,0.9270320974,0,0,0,0,0,0,0.3004546422
側,0.6696349385,0,0,0.0443938167,0.7332314448,0,0.0926640984,0,0,0.6009092845
共通,0,0,0,0,0,0,0,0,0,0.3699733005
手段,0,0.1782064697,0.8015605481,0,0,0.3438476516,0,0,0.5419291477,0.259788834
一緒,0,0.1754987637,0,0,0,0.1794881302,0,0,0.298276498,0.3004546422
ディープ,0,0,0.4635160487,0,0,0,0,0,0,0.3004546422
紹介,0,0,0,0,0,0,0,0,0,0.3699733005
地元,0.8056075005,0.2069902075,0.6793552273,0.5884592449,0.4708425399,0.163594629,0.8653413946,0.44283421,0.1056574846,0.4618719679
おれ,0,0,0,0,0,0,0,0,0,0.3699733005
いな,0,0,0,0,0,0,0,0,0,0.3699733005
おじちゃん,0,0,0,0,0,0,0,0,0,0.3699733005
大阪,0,0,0,0,0,0,0,0,0,0.3699733005
レストラン,0,0,0,0,0,0,0,0,0,0.3699733005
説明,0,0.1567813301,0.400780274,0,0,0.1471087848,0,0,0.2628249452,0.259788834
現地,0,0,0.4635160487,0,0,0,0,0,0,0.3004546422
どっち,0.9546385728,0,0.400780274,0.8435678153,0.389735081,0,1.1187734298,0,0,0.259788834
トリガー,0,0,0,0,0,0,0,0,0,0.739946601
旅行客,0,0.1754997459,0,0,0,0.179408087,0,0,0.2983469388,0.3004546422
自ら,0,0,0,0,0,0,0,0,0,0.3699733005
形,0,0.2093801544,0,0,0,0.1600137385,0,0,0.3004455158,0.6009092845
スクール,0,0,0,0,0,0,0,0,0,1.1099199014
チラシ,0,0,0,0,0,0,0,0,0,0.3699733005
不特定,0,0,0,0,0,0,0,0,0,0.3699733005
多数,0,0,0,0,0,0,0,0,0,0.3699733005
要,0,0.1976384846,0.400780274,0,0,0.1368687922,0,0,0.2537131087,0.5195776681
先生,0,0,0,0,0,0,0,0,0,0.3699733005
中間,0,0,0,0,0,0,0,0,0,0.3699733005
地点,0,0,0,0,0,0,0,0,0,0.3699733005
カフェ,0.1393658284,0.5404693387,1.0985430272,0.2422961627,0.4740327814,1.3739079728,0.1878087651,1.3852521375,1.5675793676,0
講師,0,0,0.5707635638,0,0,0,0,0,0,0
街角,0,0,0.5707635638,0,0,0,0,0,0,0
興味,0,0,1.1415271276,0,0,0,0,0,0,0
ティッシュ,0,0,0.5707635638,0,0,0,0,0,0,0
winwin,0,0,0.5707635638,0,0,0,0,0,0,0
らな,0,0,0.5707635638,0,0,0,0,0,0,0
マッチング,1.0071409153,0.4238275314,1.4463413907,0.9655979417,1.0724491416,1.1322580294,0.9198167177,2.092331751,0.7978697222,0
機能,0,0,2.2830542552,0,0,0,0,0,0,0
体験,0,0,0.5707635638,0,0,0,0,0,0,0
価値,0,0,0.5707635638,0,0,0,0,0,0,0
提供,0,0,0.5707635638,0,0,0,0,0,0,0
日本人,0,0,0.5707635638,0,0,0,0,0,0,0
異国,0,0,0.5707635638,0,0,0,0,0,0,0
語,0,0,0.5707635638,0,0,0,0,0,0,0
手軽,0,0,0.5707635638,0,0,0,0,0,0,0
空港,0,0.2514060041,3.7081283894,0,0,0.3895661366,0,0,0.6137788428,0
場所,0,0.1314626025,2.7810962921,0,0,0.1899863015,0,0,0.30857421,0
誘導,0,0,0.5707635638,0,0,0,0,0,0,0
もともと,0,0,0.5707635638,0,0,0,0,0,0,0
案内,0.3684001162,0.3042807892,0.3495766017,0.3262605523,0.4681081656,0.5711491136,0.0476456033,0.6833478163,0.1783549264,0
サービス,0,0.1310214701,0.4635160487,0,0,0.1338454276,0,0,0.3584829009,0
アプリ,0,0.3252155378,0.9270320974,0,0,0.6371213086,0,0,0.8970287496,0
正直,0,0,0.5707635638,0,0,0,0,0,0,0
お墨付き,0,0,0.5707635638,0,0,0,0,0,0,0
神戸市,0,0.1766728434,0.4635160487,0,0,0.3119796814,0,0,0.1804336131,0
地域,0,0.1111622027,0.4635160487,0,0,0.2086535943,0,0,0.3010770456,0
連携,0,0,0.5707635638,0,0,0,0,0,0,0
運営,0,0,0.5707635638,0,0,0,0,0,0,0
信頼,0,0,0.5707635638,0,0,0,0,0,0,0
生田神社,0,0,0.5707635638,0,0,0,0,0,0,0
境内,0,0,0.5707635638,0,0,0,0,0,0,0
マニュアル,0,0,0.5707635638,0,0,0,0,0,0,0
用意,0,0,0.5707635638,0,0,0,0,0,0,0
お寺,0,0,0.5707635638,0,0,0,0,0,0,0
たいへん,0,0,0.5707635638,0,0,0,0,0,0,0
歴史,0,0,0.5707635638,0,0,0,0,0,0,0
パンフレット,0,0,0.5707635638,0,0,0,0,0,0,0
スペース,0,0,0.5707635638,0,0,0,0,0,0,0
暇,0,0,0.5707635638,0,0,0,0,0,0,0
タイミング,0,0,0.5707635638,0,0,0,0,0,0,0
ため,0,0,0.5707635638,0,0,0,0,0,0,0
何,0,0,0.5707635638,0,0,0,0,0,0,0
相談,0,0,0.5707635638,0,0,0,0,0,0,0
今度,0,0,0.5707635638,0,0,0,0,0,0,0
収集,0,0,0.5707635638,0,0,0,0,0,0,0
F,0,0.1113021016,0.4635160487,0,0,0.2090867584,0,0,0.3006312337,0
登録,0.8770546034,0.5513780675,0.0515881345,1.1801037051,2.7124209997,1.3433883871,0.8617966457,4.6602064904,0.6179194558,0
何人,0,0,0.5707635638,0,0,0,0,0,0,0
看板,0,0,0.5707635638,0,0,0,0,0,0,0
店先,0,0.0068684224,0,0,0,0.4243750641,0,0,0.2803189604,0
スマホ,0,0.0085492113,0,0,0,0.3190282813,0,0,0.3728550476,0
お互い,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
反応,0,0.1558725419,0,0,0,0.6079977822,0,0,0.7105797677,0
よね,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
事前,0,0.0223005715,0,0,0,0.3160497063,0,0,0.3693739245,0
完全,0,0.0927215008,0,0,0,0.2204518357,0,0,0.4226916536,0
きれい,0,0.1169790018,0,0,0,0.4562893037,0,0,0.2030656628,0
要素,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
コース,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
掲示,0,0.084336015,0,0,0,0.328961788,0,0,0.3303378368,0
表示,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
みなさん,0,0.1174290284,0,0,0,0.0808367467,0,0,0.5353264321,0
やり方,0,0.1188744764,0,0,0,0.0726689385,0,0,0.5419158293,0
簡単,0,0.0391035119,0,0,0,0.3124101524,0,0,0.3651203014,0
インターネット,0,0.0377535849,0,0,0,0.158345947,0,0,0.5021438862,0
おっさん,0,0.1542943616,0,0,0,0.6018419185,0,0,0.0575763111,0
飯,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
ぐるナビ,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
すね,0,0.0212171348,0,0,0,0.3162843811,0,0,0.3696481938,0
学校,0,0.0078683388,0,0,0,0.3191757598,0,0,0.3730274088,0
誰,0,0.2607096186,0,0,0,1.0169261882,0,0,0.3018290986,0
状態,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
ランゲージ,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
サイト,0,0.0884230795,0,0,0,0.3449038268,0,0,0.3144027271,0
メッセージ,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
やりとり,0,0.068895836,0,0,0,0.3059570692,0,0,0.3575784477,0
不安,0,0.0282644435,0,0,0,0.3147579185,0,0,0.3678641849,0
公認,0,0.6234901677,0,0,0,2.4319911288,0,0,2.8423190707,0
ネット,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
店舗,0,0.0193983625,0,0,0,0.3166783312,0,0,0.3701086116,0
斡旋,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
交換,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
店,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
店主,0,0.0291988345,0,0,0,0.4855387582,0,0,0.2162230115,0
複数,0,0.1427932054,0,0,0,0.3798176595,0,0,0.2592948836,0
検定,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
市,0,0.115032258,0,0,0,0.4486958181,0,0,0.210655848,0
不満,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
実名,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
パック,0.1908709377,0.1188679282,0,0.260180181,0.8786869776,0.3944041612,0.1051052166,0,0.1331673793,0
自由,0,0.0212105121,0,0,0,0.588798668,0,0,0.1283413594,0
時間,0,0.0862584518,0,0,0,0.2569726552,0,0,0.3932284026,0
航空,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
具現,0,0.077936271,0,0,0,0.3039988911,0,0,0.3552898838,0
話,0.4634863812,0.1627690378,0,0.6156538148,1.6104712962,0.519963227,0.2726901386,0,0.0024518834,0
二人,0.1482136876,0.202772288,0,0.1463704563,0.9979948462,0.6994055618,0.0737720005,0,0.3610573243,0
シャットアウト,0,0.5665076987,0,0,0,0.279134384,0,0,0.1599186169,0
絵心,0.9540802641,0,0,0.7686680051,1.5883428622,0,0.6300088946,0,0,0
チケット,0.4718260687,0,0,0.6006146769,0.7854911128,0,0.0506482532,0,0,0
契機,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
有料,0.4615477497,0,0,0.5875308105,0.7683798746,0,0.1143521153,0,0,0
排除,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
プロフィール,3.9040397642,0,0,4.9696778901,6.4994046374,0,2.5779589715,0,0,0
ジャンル,0.4597795212,0,0,0.4513098164,0.7654361463,0,0.3036067287,0,0,0
お酒,0.3523904438,0,0,1.2468837299,1.630689569,0,0.6468055212,0,0,0
閉鎖,0.5572377488,0,0,0.0731456737,0.9276835861,0,0.3679614298,0,0,0
空間,0.5407772734,0,0,0.6883866511,0.5986761125,0,0.2174238561,0,0,0
個々,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
状況,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
訳,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
画面,1.3013465881,0,0,1.6565592967,2.1664682125,0,0.8593196572,0,0,0
認識,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
取っ手,0.433782196,0,0,0.5521864322,0.7221560708,0,0.2864398857,0,0,0
半分,0.0253683988,0,0,0.6651645902,0.8699102674,0,0.3450459086,0,0,0
安心,0.4463878013,0,0,0.5682328358,0.7431417508,0,0.2083117659,0,0,0
自然,0.4642728337,0,0,0.4338745549,0.7729165661,0,0.3065738028,0,0,0
