"","time1","time1","idf"
"ほん",0.00465116279069767,0.00465116279069767,1
"一",0.0124031007751938,0.0124031007751938,1
"おさらい",0.00155038759689922,0.00155038759689922,1
"えと",0.00155038759689922,0.00155038759689922,1
"最初",0.0062015503875969,0.0062015503875969,1
"ネタ",0.00155038759689922,0.00155038759689922,1
"僕",0.00775193798449612,0.00775193798449612,1
"英語",0.0217054263565891,0.0217054263565891,1
"旅行",0.0217054263565891,0.0217054263565891,1
"こと",0.0248062015503876,0.0248062015503876,1
"ビジネス",0.00155038759689922,0.00155038759689922,1
"活用",0.00155038759689922,0.00155038759689922,1
"あれ",0.00310077519379845,0.00310077519379845,1
"ばー",0.00155038759689922,0.00155038759689922,1
"子供",0.00465116279069767,0.00465116279069767,1
"双子",0.00310077519379845,0.00310077519379845,1
"６",0.00155038759689922,0.00155038759689922,1
"その子",0.00155038759689922,0.00155038759689922,1
"日本",0.0124031007751938,0.0124031007751938,1
"場",0.00310077519379845,0.00310077519379845,1
"勉強",0.00775193798449612,0.00775193798449612,1
"仕事",0.00155038759689922,0.00155038759689922,1
"合間",0.00155038759689922,0.00155038759689922,1
"情報",0.0201550387596899,0.0201550387596899,1
"発信",0.00310077519379845,0.00310077519379845,1
"外国人",0.0124031007751938,0.0124031007751938,1
"友達",0.0108527131782946,0.0108527131782946,1
"無作為",0.00155038759689922,0.00155038759689922,1
"変",0.00465116279069767,0.00465116279069767,1
"事件",0.00155038759689922,0.00155038759689922,1
"人",0.10077519379845,0.10077519379845,1
"風",0.00930232558139535,0.00930232558139535,1
"安全面",0.00310077519379845,0.00310077519379845,1
"コミュニティ",0.00310077519379845,0.00310077519379845,1
"こちら側",0.00155038759689922,0.00155038759689922,1
"神戸",0.0170542635658915,0.0170542635658915,1
"国際都市",0.00155038759689922,0.00155038759689922,1
"外国",0.0170542635658915,0.0170542635658915,1
"ほとんど",0.00155038759689922,0.00155038759689922,1
"本当",0.00465116279069767,0.00465116279069767,1
"日本語",0.0062015503875969,0.0062015503875969,1
"接点",0.00155038759689922,0.00155038759689922,1
"いろいろ",0.00310077519379845,0.00310077519379845,1
"壁",0.00155038759689922,0.00155038759689922,1
"融合",0.00155038759689922,0.00155038759689922,1
"出会い系",0.00775193798449612,0.00775193798449612,1
"今回",0.00155038759689922,0.00155038759689922,1
"案",0.00310077519379845,0.00310077519379845,1
"絵",0.00465116279069767,0.00465116279069767,1
"両者",0.00155038759689922,0.00155038759689922,1
"何か",0.00310077519379845,0.00310077519379845,1
"知恵",0.00155038759689922,0.00155038759689922,1
"拝借",0.00155038759689922,0.00155038759689922,1
"深堀",0.00155038759689922,0.00155038759689922,1
"してい",0.00155038759689922,0.00155038759689922,1
"意見",0.00310077519379845,0.00310077519379845,1
"観光客",0.0108527131782946,0.0108527131782946,1
"一つ",0.00155038759689922,0.00155038759689922,1
"街",0.00465116279069767,0.00465116279069767,1
"昔",0.00155038759689922,0.00155038759689922,1
"震災",0.00155038759689922,0.00155038759689922,1
"あそこ",0.00155038759689922,0.00155038759689922,1
"もの",0.00465116279069767,0.00465116279069767,1
"紙",0.00155038759689922,0.00155038759689922,1
"きっかけ",0.00310077519379845,0.00310077519379845,1
"今",0.00930232558139535,0.00930232558139535,1
"高校",0.00155038759689922,0.00155038759689922,1
"時",0.0062015503875969,0.0062015503875969,1
"相手",0.00310077519379845,0.00310077519379845,1
"回数",0.00155038759689922,0.00155038759689922,1
"TOEIC",0.00155038759689922,0.00155038759689922,1
"機会",0.00155038759689922,0.00155038759689922,1
"英会話",0.0124031007751938,0.0124031007751938,1
"教室",0.00310077519379845,0.00310077519379845,1
"お金",0.00155038759689922,0.00155038759689922,1
"週",0.00155038759689922,0.00155038759689922,1
"毎日",0.00155038759689922,0.00155038759689922,1
"頻度",0.00155038759689922,0.00155038759689922,1
"何回",0.00155038759689922,0.00155038759689922,1
"環境",0.00155038759689922,0.00155038759689922,1
"中",0.00310077519379845,0.00310077519379845,1
"組織",0.00155038759689922,0.00155038759689922,1
"海外",0.0108527131782946,0.0108527131782946,1
"留学",0.00310077519379845,0.00310077519379845,1
"大学生",0.00155038759689922,0.00155038759689922,1
"休学",0.00155038759689922,0.00155038759689922,1
"アメリカ",0.00155038759689922,0.00155038759689922,1
"シアトル",0.00155038759689922,0.00155038759689922,1
"自分",0.0124031007751938,0.0124031007751938,1
"NOVA",0.00155038759689922,0.00155038759689922,1
"方",0.0155038759689922,0.0155038759689922,1
"いっぱい",0.00155038759689922,0.00155038759689922,1
"私",0.00930232558139535,0.00930232558139535,1
"チーム",0.00155038759689922,0.00155038759689922,1
"ガイドブック",0.00310077519379845,0.00310077519379845,1
"観光",0.013953488372093,0.013953488372093,1
"ホームページ",0.00155038759689922,0.00155038759689922,1
"発展",0.00155038759689922,0.00155038759689922,1
"定番",0.00155038759689922,0.00155038759689922,1
"スポット",0.00465116279069767,0.00465116279069767,1
"コミュニケーション",0.00930232558139535,0.00930232558139535,1
"文化",0.00465116279069767,0.00465116279069767,1
"側",0.00465116279069767,0.00465116279069767,1
"共通",0.00155038759689922,0.00155038759689922,1
"手段",0.00775193798449612,0.00775193798449612,1
"一緒",0.00310077519379845,0.00310077519379845,1
"ディープ",0.00310077519379845,0.00310077519379845,1
"紹介",0.00155038759689922,0.00155038759689922,1
"地元",0.0108527131782946,0.0108527131782946,1
"おれ",0.00155038759689922,0.00155038759689922,1
"いな",0.00155038759689922,0.00155038759689922,1
"おじちゃん",0.00155038759689922,0.00155038759689922,1
"大阪",0.00155038759689922,0.00155038759689922,1
"レストラン",0.00155038759689922,0.00155038759689922,1
"説明",0.00465116279069767,0.00465116279069767,1
"現地",0.00310077519379845,0.00310077519379845,1
"どっち",0.0062015503875969,0.0062015503875969,1
"トリガー",0.00310077519379845,0.00310077519379845,1
"旅行客",0.00310077519379845,0.00310077519379845,1
"自ら",0.00155038759689922,0.00155038759689922,1
"形",0.00465116279069767,0.00465116279069767,1
"スクール",0.00465116279069767,0.00465116279069767,1
"チラシ",0.00155038759689922,0.00155038759689922,1
"不特定",0.00155038759689922,0.00155038759689922,1
"多数",0.00155038759689922,0.00155038759689922,1
"要",0.0062015503875969,0.0062015503875969,1
"先生",0.00155038759689922,0.00155038759689922,1
