"","time1","time1","idf"
"ほん",0.0827572344653263,0.0827572344653263,1
"一",0.174776429089404,0.174776429089404,1
"おさらい",0.0312307990783385,0.0312307990783385,1
"えと",0.0312307990783385,0.0312307990783385,1
"最初",0.104552382942622,0.104552382942622,1
"ネタ",0.0312307990783385,0.0312307990783385,1
"僕",0.124354195540135,0.124354195540135,1
"英語",0.250026569722365,0.250026569722365,1
"旅行",0.250026569722365,0.250026569722365,1
"こと",0.270244401815581,0.270244401815581,1
"ビジネス",0.0312307990783385,0.0312307990783385,1
"活用",0.0312307990783385,0.0312307990783385,1
"あれ",0.0585220493323666,0.0585220493323666,1
"ばー",0.0312307990783385,0.0312307990783385,1
"子供",0.0827572344653263,0.0827572344653263,1
"双子",0.0585220493323666,0.0585220493323666,1
"６",0.0312307990783385,0.0312307990783385,1
"その子",0.0312307990783385,0.0312307990783385,1
"日本",0.174776429089404,0.174776429089404,1
"場",0.0585220493323666,0.0585220493323666,1
"勉強",0.124354195540135,0.124354195540135,1
"仕事",0.0312307990783385,0.0312307990783385,1
"合間",0.0312307990783385,0.0312307990783385,1
"情報",0.239163188746418,0.239163188746418,1
"発信",0.0585220493323666,0.0585220493323666,1
"外国人",0.174776429089404,0.174776429089404,1
"友達",0.159237223071079,0.159237223071079,1
"無作為",0.0312307990783385,0.0312307990783385,1
"変",0.0827572344653263,0.0827572344653263,1
"事件",0.0312307990783385,0.0312307990783385,1
"人",0.521095335385564,0.521095335385564,1
"風",0.142496927155685,0.142496927155685,1
"安全面",0.0585220493323666,0.0585220493323666,1
"コミュニティ",0.0585220493323666,0.0585220493323666,1
"こちら側",0.0312307990783385,0.0312307990783385,1
"神戸",0.215651902092027,0.215651902092027,1
"国際都市",0.0312307990783385,0.0312307990783385,1
"外国",0.215651902092027,0.215651902092027,1
"ほとんど",0.0312307990783385,0.0312307990783385,1
"本当",0.0827572344653263,0.0827572344653263,1
"日本語",0.104552382942622,0.104552382942622,1
"接点",0.0312307990783385,0.0312307990783385,1
"いろいろ",0.0585220493323666,0.0585220493323666,1
"壁",0.0312307990783385,0.0312307990783385,1
"融合",0.0312307990783385,0.0312307990783385,1
"出会い系",0.124354195540135,0.124354195540135,1
"今回",0.0312307990783385,0.0312307990783385,1
"案",0.0585220493323666,0.0585220493323666,1
"絵",0.0827572344653263,0.0827572344653263,1
"両者",0.0312307990783385,0.0312307990783385,1
"何か",0.0585220493323666,0.0585220493323666,1
"知恵",0.0312307990783385,0.0312307990783385,1
"拝借",0.0312307990783385,0.0312307990783385,1
"深堀",0.0312307990783385,0.0312307990783385,1
"してい",0.0312307990783385,0.0312307990783385,1
"意見",0.0585220493323666,0.0585220493323666,1
"観光客",0.159237223071079,0.159237223071079,1
"一つ",0.0312307990783385,0.0312307990783385,1
"街",0.0827572344653263,0.0827572344653263,1
"昔",0.0312307990783385,0.0312307990783385,1
"震災",0.0312307990783385,0.0312307990783385,1
"あそこ",0.0312307990783385,0.0312307990783385,1
"もの",0.0827572344653263,0.0827572344653263,1
"紙",0.0312307990783385,0.0312307990783385,1
"きっかけ",0.0585220493323666,0.0585220493323666,1
"今",0.142496927155685,0.142496927155685,1
"高校",0.0312307990783385,0.0312307990783385,1
"時",0.104552382942622,0.104552382942622,1
"相手",0.0585220493323666,0.0585220493323666,1
"回数",0.0312307990783385,0.0312307990783385,1
"TOEIC",0.0312307990783385,0.0312307990783385,1
"機会",0.0312307990783385,0.0312307990783385,1
"英会話",0.174776429089404,0.174776429089404,1
"教室",0.0585220493323666,0.0585220493323666,1
"お金",0.0312307990783385,0.0312307990783385,1
"週",0.0312307990783385,0.0312307990783385,1
"毎日",0.0312307990783385,0.0312307990783385,1
"頻度",0.0312307990783385,0.0312307990783385,1
"何回",0.0312307990783385,0.0312307990783385,1
"環境",0.0312307990783385,0.0312307990783385,1
"中",0.0585220493323666,0.0585220493323666,1
"組織",0.0312307990783385,0.0312307990783385,1
"海外",0.159237223071079,0.159237223071079,1
"留学",0.0585220493323666,0.0585220493323666,1
"大学生",0.0312307990783385,0.0312307990783385,1
"休学",0.0312307990783385,0.0312307990783385,1
"アメリカ",0.0312307990783385,0.0312307990783385,1
"シアトル",0.0312307990783385,0.0312307990783385,1
"自分",0.174776429089404,0.174776429089404,1
"NOVA",0.0312307990783385,0.0312307990783385,1
"方",0.202864766583495,0.202864766583495,1
"いっぱい",0.0312307990783385,0.0312307990783385,1
"私",0.142496927155685,0.142496927155685,1
"チーム",0.0312307990783385,0.0312307990783385,1
"ガイドブック",0.0585220493323666,0.0585220493323666,1
"観光",0.189275419644717,0.189275419644717,1
"ホームページ",0.0312307990783385,0.0312307990783385,1
"発展",0.0312307990783385,0.0312307990783385,1
