,topic1,topic2,topic3
ほん,0.1476915811,0.1476915811,0.1476915811
一,0.3923313606,0.3923313606,0.3923313606
おさらい,0.0434971593,0.0528823168,0.0528823168
えと,0.0657795009,0.0657795009,0.0003290776
最初,0.1967702009,0.1967702009,0.1967702009
ネタ,0.0348012507,0.0711663669,0.03936014
僕,0.2457732569,0.2457732569,0.2457732569
英語,0.6834383774,0.6834383774,0.6834383774
旅行,0.7816764444,0.5142396663,0.7816764444
こと,0.7798853561,0.7798853561,0.7798853561
ビジネス,0.0493067157,0.0493067157,0.0493067157
活用,0.0493067157,0.0493067157,0.0493067157
あれ,0.0985371642,0.0985371642,0.0985371642
ばー,0.0493067157,0.0493067157,0.0493067157
子供,0.1476915811,0.1476915811,0.1476915811
双子,0.0699435509,0.1329298004,0.091624571
６,0.0493067157,0.0493067157,0.0493067157
その子,0.0493067157,0.0493067157,0.0493067157
日本,0.2819586905,0.4602623043,0.4602623043
場,0.1441457159,0.0199840289,0.1441457159
勉強,0.2457732569,0.2457732569,0.2457732569
仕事,0.0529846938,0.0529846938,0.0383711831
合間,0.0493067157,0.0493067157,0.0493067157
情報,0.4030726667,0.7779137888,0.7779137888
発信,0.1212440166,0.1212440166,0.0310241126
外国人,0.3950335473,0.3876772941,0.3950335473
友達,0.3435536061,0.3435536061,0.3435536061
無作為,0.0493067157,0.0493067157,0.0493067157
変,0.1414671632,0.1074191631,0.2158913612
事件,0.0455447493,0.0516220889,0.0516220889
人,4.0030489503,2.37415329,2.6171838396
風,0.1399399389,0.3899515871,0.3899515871
安全面,0.0985371642,0.0985371642,0.0985371642
コミュニティ,0.0985371642,0.0985371642,0.0985371642
こちら側,0.0493067157,0.0493067157,0.0493067157
神戸,0.6439398502,0.6439398502,0.2238797324
国際都市,0.0107312914,0.0730486888,0.0730486888
外国,0.5382176907,0.5382176907,0.5382176907
ほとんど,0.0493067157,0.0493067157,0.0493067157
本当,0.1476915811,0.1476915811,0.1476915811
日本語,0.1967702009,0.1967702009,0.1967702009
接点,0.0493067157,0.0493067157,0.0493067157
いろいろ,0.0900575147,0.0970789273,0.113501494
壁,0.0493067157,0.0493067157,0.0493067157
融合,0.0493067157,0.0493067157,0.0493067157
出会い系,0.2457732569,0.2457732569,0.2457732569
今回,0.0493067157,0.0493067157,0.0493067157
案,0.0985371642,0.0985371642,0.0985371642
絵,0.1646099328,0.1646099328,0.0973891642
両者,0.0493067157,0.0493067157,0.0493067157
何か,0.0985371642,0.0985371642,0.0985371642
知恵,0.0493067157,0.0493067157,0.0493067157
拝借,0.0183674236,0.0683488871,0.0683488871
深堀,0.0742644341,0.0542399308,0.0043270491
してい,0.0493067157,0.0493067157,0.0493067157
意見,0.0985371642,0.0985371642,0.0985371642
観光客,0.3435536061,0.3435536061,0.3435536061
一つ,0.0635252009,0.0248177427,0.0635252009
街,0.1476915811,0.1476915811,0.1476915811
昔,0.0493067157,0.0493067157,0.0493067157
震災,0.0493067157,0.0493067157,0.0493067157
あそこ,0.0120967788,0.0722082739,0.0722082739
もの,0.1476915811,0.1476915811,0.1476915811
紙,0.0528466458,0.0528466458,0.0387816338
きっかけ,0.1361705227,0.0337199711,0.1361705227
今,0.2947009816,0.2947009816,0.2947009816
高校,0.0493067157,0.0493067157,0.0493067157
時,0.1967702009,0.1967702009,0.1967702009
相手,0.0379322494,0.1358376032,0.1358376032
回数,0.0569380511,0.0361630112,0.0569380511
TOEIC,0.0493067157,0.0493067157,0.0493067157
機会,0.0493067157,0.0493067157,0.0493067157
英会話,0.3923313606,0.3923313606,0.3923313606
教室,0.1503733485,0.0092579689,0.1503733485
お金,0.0493067157,0.0493067157,0.0493067157
週,0.0493067157,0.0493067157,0.0493067157
毎日,0.0493067157,0.0493067157,0.0493067157
頻度,0.0596180425,0.0315471724,0.0596180425
何回,0.0366074948,0.057122691,0.057122691
環境,0.0493067157,0.0493067157,0.0493067157
中,0.0985371642,0.0985371642,0.0985371642
組織,0.0493067157,0.0493067157,0.0493067157
海外,0.3617257307,0.3617257307,0.2895234143
留学,0.074743481,0.1640212224,0.0389807668
大学生,0.0493067157,0.0493067157,0.0493067157
休学,0.0478777414,0.0501862049,0.0501862049
アメリカ,0.0493067157,0.0493067157,0.0493067157
シアトル,0.0592610071,0.0592610071,0.0197101613
自分,0.3923313606,0.3923313606,0.3923313606
NOVA,0.063579185,0.063579185,0.0068711573
方,0.4896631754,0.4896631754,0.4896631754
いっぱい,0.0493067157,0.0493067157,0.0493067157
私,0.2947009816,0.2947009816,0.2947009816
チーム,0.0061088078,0.0758936837,0.0758936837
ガイドブック,0.1206655263,0.1206655263,0.0327441064
観光,0.4410344744,0.4410344744,0.4410344744
ホームページ,0.0411858467,0.0678480457,0.0345385751
発展,0.0493067157,0.0493067157,0.0493067157
定番,0.0493067157,0.0493067157,0.0493067157
スポット,0.205459285,0.0527316853,0.1988399355
コミュニケーション,0.2947009816,0.2947009816,0.2947009816
文化,0.2211515373,0.0211690397,0.2211515373
側,0.1649387634,0.1165866625,0.1669813617
共通,0.0493067157,0.0493067157,0.0493067157
手段,0.2618985027,0.2180002063,0.2618985027
一緒,0.0985371642,0.0985371642,0.0985371642
ディープ,0.0985371642,0.0985371642,0.0985371642
紹介,0.0493067157,0.0493067157,0.0493067157
地元,0.3435536061,0.3435536061,0.3435536061
おれ,0.0493067157,0.0493067157,0.0493067157
いな,0.0493067157,0.0493067157,0.0493067157
おじちゃん,0.0493067157,0.0493067157,0.0493067157
大阪,0.0181453345,0.068485576,0.068485576
レストラン,0.0617621244,0.0617621244,0.0122737252
説明,0.1476915811,0.1476915811,0.1476915811
現地,0.0729117652,0.1143087998,0.1143087998
どっち,0.1967702009,0.1967702009,0.1967702009
トリガー,0.0985371642,0.0985371642,0.0985371642
旅行客,0.0985371642,0.0985371642,0.0985371642
自ら,0.0114405603,0.0726121559,0.0726121559
形,0.1802777155,0.1802777155,0.0508049965
スクール,0.1476915811,0.1476915811,0.1476915811
チラシ,0.0493067157,0.0493067157,0.0493067157
不特定,0.0493067157,0.0493067157,0.0493067157
多数,0.0493067157,0.0493067157,0.0493067157
要,0.1967702009,0.1967702009,0.1967702009
先生,0.0493067157,0.0493067157,0.0493067157
中間,0.0493067157,0.0493067157,0.0493067157
地点,0.0493067157,0.0493067157,0.0493067157
カフェ,0.4369760045,0.5799044859,0.6306299812
講師,0.0493067157,0.0493067157,0.0493067157
街角,0.0493067157,0.0493067157,0.0493067157
興味,0.1304389318,0.1304389318,0.0036853702
ティッシュ,0.0226254987,0.0657281744,0.0657281744
winwin,0.0493067157,0.0493067157,0.0493067157
らな,0.0493067157,0.0493067157,0.0493067157
マッチング,0.6125174425,0.5422289804,0.6125174425
機能,0.1967702009,0.1967702009,0.1967702009
体験,0.0493067157,0.0493067157,0.0493067157
価値,0.0493067157,0.0493067157,0.0493067157
提供,0.0296979693,0.0613752889,0.0613752889
日本人,0.0526965317,0.0434683221,0.0526965317
異国,0.0493067157,0.0493067157,0.0493067157
語,0.0493067157,0.0493067157,0.0493067157
手軽,0.0513765544,0.0513765544,0.0431525766
空港,0.4896631754,0.4896631754,0.4896631754
場所,0.3435536061,0.3435536061,0.3435536061
誘導,0.0614422,0.0614422,0.0132249391
もともと,0.0493067157,0.0493067157,0.0493067157
案内,0.1967702009,0.1967702009,0.1967702009
サービス,0.0985371642,0.0985371642,0.0985371642
アプリ,0.2457732569,0.2457732569,0.2457732569
正直,0.0493067157,0.0493067157,0.0493067157
お墨付き,0.0493067157,0.0493067157,0.0493067157
神戸市,0.1117373111,0.1117373111,0.059289884
地域,0.0602390487,0.1221084625,0.1221084625
連携,0.0493067157,0.0493067157,0.0493067157
運営,0.0493067157,0.0493067157,0.0493067157
信頼,0.0652775786,0.0217995639,0.0652775786
生田神社,0.0493067157,0.0493067157,0.0493067157
境内,0.0493067157,0.0493067157,0.0493067157
マニュアル,0.0493067157,0.0493067157,0.0493067157
用意,0.0493067157,0.0493067157,0.0493067157
お寺,0.0493067157,0.0493067157,0.0493067157
たいへん,0.0493067157,0.0493067157,0.0493067157
歴史,0.0618721543,0.0384530163,0.0461268112
パンフレット,0.0493067157,0.0493067157,0.0493067157
スペース,0.0493067157,0.0493067157,0.0493067157
暇,0.0607620201,0.0607620201,0.015247281
タイミング,0.0493067157,0.0493067157,0.0493067157
ため,0.0493067157,0.0493067157,0.0493067157
何,0.0493067157,0.0493067157,0.0493067157
相談,0.0493067157,0.0493067157,0.0493067157
今度,0.0493067157,0.0493067157,0.0493067157
収集,0.005560109,0.0762313907,0.0762313907
F,0.0985371642,0.0985371642,0.0985371642
登録,0.5866982463,0.5866982463,0.5866982463
何人,0.0653544233,0.0216672117,0.0653544233
看板,0.0493067157,0.0493067157,0.0493067157
店先,0.0742552492,0.0063370214,0.0742552492
スマホ,0.0720255317,0.0101773385,0.0720255317
お互い,0.0493067157,0.0493067157,0.0493067157
反応,0.0280391726,0.1419264841,0.1419264841
よね,0.0493067157,0.0493067157,0.0493067157
事前,0.0640898698,0.0238451946,0.0640898698
完全,0.0493067157,0.0493067157,0.0493067157
きれい,0.0493067157,0.0493067157,0.0493067157
要素,0.0493067157,0.0493067157,0.0493067157
コース,0.0493067157,0.0493067157,0.0493067157
掲示,0.0544001487,0.0544001487,0.0341626878
表示,0.0493067157,0.0493067157,0.0493067157
みなさん,0.0586617286,0.0586617286,0.0214919635
やり方,0.0493067157,0.0493067157,0.0493067157
簡単,0.0594869333,0.0392611562,0.0485579491
インターネット,0.0614134966,0.0284548018,0.0614134966
おっさん,0.0493067157,0.0493067157,0.0493067157
飯,0.0493067157,0.0493067157,0.0493067157
ぐるナビ,0.0493067157,0.0493067157,0.0493067157
すね,0.064655998,0.0228701329,0.064655998
学校,0.0724654483,0.0094196554,0.0724654483
誰,0.0711654306,0.1153836144,0.1153836144
状態,0.0493067157,0.0493067157,0.0493067157
ランゲージ,0.0493067157,0.0493067157,0.0493067157
サイト,0.0493067157,0.0493067157,0.0493067157
メッセージ,0.0493067157,0.0493067157,0.0493067157
やりとり,0.0531839436,0.0531839436,0.0377787644
不安,0.0611292611,0.02894435,0.0611292611
公認,0.4891246223,0.4891246223,0.1045412099
ネット,0.0493067157,0.0493067157,0.0493067157
店舗,0.0656272263,0.021197354,0.0656272263
斡旋,0.0557529061,0.0557529061,0.0301406077
交換,0.0493067157,0.0493067157,0.0493067157
店,0.0493067157,0.0493067157,0.0493067157
店主,0.0658170539,0.0208704076,0.0658170539
複数,0.0070443624,0.075317879,0.075317879
検定,0.0561482284,0.0561482284,0.0289652173
市,0.0493067157,0.0493067157,0.0493067157
不満,0.0502106555,0.051421858,0.0448513305
実名,0.0493067157,0.0493067157,0.0493067157
パック,0.0985371642,0.0985371642,0.0985371642
自由,0.0701932793,0.0133330881,0.0701932793
時間,0.0520926182,0.0520926182,0.0410235431
航空,0.0493067157,0.0493067157,0.0493067157
具現,0.0493067157,0.0493067157,0.0493067157
話,0.1476915811,0.1476915811,0.1476915811
二人,0.1595636358,0.1595636358,0.1123930452
シャットアウト,0.0493067157,0.0493067157,0.0493067157
絵心,0.0985371642,0.0985371642,0.0985371642
チケット,0.0493067157,0.0493067157,0.0493067157
契機,0.0493067157,0.0493067157,0.0493067157
有料,0.0493067157,0.0493067157,0.0493067157
排除,0.0493067157,0.0493067157,0.0493067157
プロフィール,0.4410344744,0.4410344744,0.4410344744
ジャンル,0.0493067157,0.0493067157,0.0493067157
お酒,0.0595817107,0.1225130335,0.1225130335
閉鎖,0.0573068631,0.035527794,0.0573068631
空間,0.0511252316,0.0511252316,0.043899821
個々,0.0493067157,0.0493067157,0.0493067157
状況,0.0493067157,0.0493067157,0.0493067157
訳,0.0663938993,0.0198768874,0.0663938993
画面,0.1476915811,0.1476915811,0.1476915811
認識,0.0569151672,0.0569151672,0.0266849199
取っ手,0.0493067157,0.0493067157,0.0493067157
半分,0.0076511188,0.0550848547,0.1039295029
安心,0.0493067157,0.0493067157,0.0493067157
自然,0.0493067157,0.0493067157,0.0493067157
