,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
ほん,0.782733086,0,1.5035484578,0.990676598,0,0.0367542426,1.092490822,0.2603975936,0,0.5657553178
一,1.3502261931,2.2795244884,0.4654403462,1.5352285419,1.2051569851,1.6457375202,0.3771270317,0.7481754929,2.2082063366,1.9131638244
おさらい,0.7273477202,0,0.8238395617,0,0,0,0,0.3929669644,0,0
えと,1.2750886909,0,0.0002426468,0,0,0,0,0.1745461125,0,0
最初,0.42570455,0,1.0242401628,2.9168180182,0,0.0974647703,0.1502716808,0.0744099186,0,1.2563696633
ネタ,0.9855459653,0,0.2114351436,0,0,0,0,0.6215083876,0,0
僕,2.3726923868,0,0.5193439689,0.1711474092,0,0.3863389634,2.8136708693,0.0287559034,0,1.3657239717
英語,2.5114598738,1.1412129878,0.973727398,2.2143860309,1.4693821844,0.9708082859,2.383379137,1.4702003669,0.9552343702,1.6856471269
旅行,1.2954118729,0.2368267045,1.8097588201,0.3756869807,5.2348759876,2.238406628,0.3669184015,1.0786550266,2.2637635942,0.1016286545
こと,0.983801111,2.6863963677,2.6185353136,2.0380182192,3.0621910933,3.1188534203,0.4136401488,3.0030504838,1.4311943821,1.5365635022
ビジネス,1.0774278956,0,0.2653557665,0,0,0,0,0.3008277991,0,0
活用,1.1682223238,0,0.2215970679,0,0,0,0,0.1274462981,0,0
あれ,1.9152873964,0,0.8014449588,0,0,0,0,0.0472582578,0,0
ばー,1.2168945951,0,0.1065250776,0,0,0,0,0.1699797721,0,0
子供,2.9240713143,0,0.5546595166,0,0,0,0,0.0062559166,0,0
双子,1.7039241925,0,0.4234021465,0,0,0,0,1.1605652561,0,0
６,1.1791552021,0,0.1631817006,0,0,0,0,0.1851609887,0,0
その子,1.1966804434,0,0.2499816226,0,0,0,0,0.0108453516,0,0
日本,0.2237935443,0,3.1146149876,2.8761339341,0,0.457160026,3.5010805397,0.0194032073,0,2.3714744244
場,0.3820783042,0,0.065865437,0,1.9874243273,0,0,1.702186411,0,0
勉強,1.4795450878,0,1.5916446048,0.2279033112,0,0.3257591345,2.7915304414,0.8168779823,0,1.2612038049
仕事,1.2556403052,0,0.0341581754,0,0,0,0,0.1753918982,0,0
合間,0.9990706406,0,0.3873925767,0,0,0,0,0.3258381518,0,0
情報,0.5657788158,3.0735188667,3.3365830538,0.8232733702,2.5976627095,3.6121885766,0.8614088455,0.9997634201,4.3952718581,1.2671366103
発信,2.3396017905,0,0.0286885772,0,0,0,0,0.0773180836,0,0
外国人,1.0000562034,0,2.4802561173,2.8847699063,0,0.1406972445,4.8107715909,0.0360103381,0,0.1279067314
友達,1.8015666038,0,2.5910409816,1.8451169164,0,0.2799386255,1.4785261143,0.3369565485,0,0.8476360122
無作為,1.2045172206,0,0.1296427918,0,0,0,0,0.1682508604,0,0
変,0.4348207341,0,0.2038992852,0,1.9874243273,0,0,3.5384314143,0,0
事件,0.6998994923,0,0.7598630032,0,0,0,0,0.5595527979,0,0
人,3.9606835414,1.8142237442,0.776686988,1.8522056809,4.4573738474,6.5612506929,7.6706607946,2.4166736903,11.945705194,3.8223610709
風,0.9204883919,0,3.4822503255,0.7546628557,0,0.0387806866,1.1873328829,1.5356632194,0,1.0837963442
安全面,2.101558039,0,0.2558558337,0,0,0,0,0.3656105582,0,0
コミュニティ,0.5910321247,0,0.7943958228,1.2444799754,0,0.0991663452,0.0550196054,0.0175907023,0,0.5795411793
こちら側,1.1000120014,0,0.2862122456,0,0,0,0,0.2107628114,0,0
神戸,4.8667163173,0,0.2429776653,1.1547165564,0,0.3958138545,0.8455487158,0.7403999651,0,0.197574755
国際都市,0.2061779857,0,1.3443275234,0,0,0,0,0.9899445345,0,0
外国,2.6999372896,0,2.642619341,0.4612521055,0,0.5858479379,3.335629794,0.1817665373,0,5.0935679211
ほとんど,1.1666211607,0,0.2089967451,0,0,0,0,0.1502782956,0,0
本当,2.4903539057,0,1.0413944187,0,0,0,0,0.423819776,0,0
日本語,3.5254619706,0,0.5391006473,0,0,0,0,0.3477515742,0,0
接点,1.1761200024,0,0.2886718258,0,0,0,0,0.0075465488,0,0
いろいろ,1.3819456854,0,1.6683031016,0,0,0,0,0.1639454122,0,0
壁,1.1929485793,0,0.2499696621,0,0,0,0,0.0206491572,0,0
融合,1.1657781375,0,0.2211334365,0,0,0,0,0.1345413354,0,0
出会い系,0.2878413567,0,0.9413483263,3.6002464947,0,0.167673201,1.4063101445,0.0376696989,0,0.5216298419
今回,1.1944056202,0,0.1990400917,0,0,0,0,0.0921425366,0,0
案,0.9323918621,0,0.1692247148,0,1.9874243273,0,0,0.1062448185,0,0
絵,0.2482778546,0,0.0112122229,0,3.1973947293,0,0,2.1338738583,0,0
両者,1.1221684072,0,0.2937095672,0,0,0,0,0.1415747911,0,0
何か,0.4987891852,0,0.7228155418,0.979122032,0,0.096640601,0.7797081324,0.0811704098,0,0.7719193246
知恵,1.1524110413,0,0.2241825805,0,0,0,0,0.1650850083,0,0
拝借,0.3928962192,0,1.4004364884,0,0,0,0,0.4173373032,0,0
深堀,1.3141803293,0,0.0038832882,0,0,0,0,0.0666518234,0,0
してい,1.2135373361,0,0.1174970818,0,0,0,0,0.1625582561,0,0
意見,2.2402473407,0,0.1134885566,0,0,0,0,0.2124551645,0,0
観光客,3.3024466346,0,0.3366558839,0,1.9874243273,0,0,1.577813044,0,0
一つ,1.2040749854,0,0.1793156111,0,0,0,0,0.0959548146,0,0
街,3.0579852268,0,0.1996614555,0,0,0,0,0.1800596124,0,0
昔,1.2037752086,0,0.0802837729,0,0,0,0,0.2431883288,0,0
震災,1.1839714248,0,0.2198514158,0,0,0,0,0.0887286687,0,0
あそこ,0.7098672789,0,1.0090642404,0,0,0,0,0.1648975511,0,0
もの,0.5314533479,0,0.6308357724,1.4277610552,0,0.2207544493,0.7613113278,0.09163491,0,2.3459560253
紙,1.2743882938,0,0.0351305624,0,0,0,0,0.1247908327,0,0
きっかけ,0.4539314675,0,0.6438984346,0.8338516383,0,0.1771671761,1.4429154671,0.0239878902,0,0.6804354491
今,1.0973428918,2.6869884542,0.482829376,1.5263240861,1.0972656445,0.1505198123,0.6095031035,0.3459791008,2.7468783704,0.3291216514
高校,0.9944593696,0,0.4111648099,0,0,0,0,0.3027761831,0,0
時,1.5896369404,0,1.4562321448,1.0774363948,0,0.143479269,0.9094339681,0.0289252752,0,0.4326163379
相手,0.0677337919,0,1.3826687118,0.8564249578,0,0.1617463941,0.8202214498,0.1950820079,0,1.0249781165
回数,1.1585809624,0,0.2154397664,0,0,0,0,0.1618343353,0,0
TOEIC,1.1248094099,0,0.2595225822,0,0,0,0,0.185204664,0,0
機会,1.2229439917,0,0.2003150383,0,0,0,0,0.0154205931,0,0
英会話,5.4096605858,0,0.5835826446,0,0,0,0,0.9076199285,0,0
教室,2.230284121,0,0.1812724923,0,0,0,0,0.1383435685,0,0
お金,1.2171755849,0,0.1398136723,0,0,0,0,0.1200160497,0,0
週,0.8481579084,0,0.6541339603,0,0,0,0,0.3271238877,0,0
毎日,1.0032458615,0,0.58087955,0,0,0,0,0.0287625899,0,0
頻度,1.0517197727,0,0.4494361094,0,0,0,0,0.0960261821,0,0
何回,0.6431793251,0,0.9613313095,0,0,0,0,0.4103613247,0,0
環境,1.0728085198,0,0.4158293779,0,0,0,0,0.0904222077,0,0
中,0.3402697489,0,1.1624793714,1.3348217373,0,0.1714893686,0.2709405312,0.0184303288,0,0.1964779241
組織,0.9159537732,0,0.4121505044,0,0,0,0,0.5071848516,0,0
海外,1.8996006738,0,0.4648057504,2.6577479347,0,0.3690099547,1.6418565776,0.3083975885,0,2.6152748013
留学,0.4998314539,0,0.2238671262,0.546781872,0,0.3089558275,2.1819662306,0.1839383545,0,0.8711865889
大学生,1.1224466905,0,0.2596541969,0,0,0,0,0.191205825,0,0
休学,0.7689359451,0,0.772046086,0,0,0,0,0.3605013237,0,0
アメリカ,1.2137870248,0,0.1849335766,0,0,0,0,0.0621790026,0,0
シアトル,1.2282798883,0,0.0392119106,0,0,0,0,0.2396660766,0,0
自分,0.6145618184,3.8048199062,0.3395580295,1.7219383058,1.3331217363,0.7761951803,1.7596943461,1.1336963383,0.6220250099,1.9676714627
NOVA,1.2320269465,0,0.0080204817,0,0,0,0,0.2759657232,0,0
方,0.5764009426,2.8580894626,0.5178864919,1.2627658305,2.9883622643,2.9097001356,0.9014365705,0.4974530397,1.8503265646,2.9176238553
いっぱい,1.1634221016,0,0.2206865261,0,0,0,0,0.1413804876,0,0
私,0.2133062833,3.8355031718,0.3064286742,1.8106546545,1.1977882982,0.8234607428,1.0154254193,0.6573088888,1.5242847839,0.5172367827
チーム,0.1324511872,0,1.5761857268,0,0,0,0,0.8404094734,0,0
ガイドブック,0.9042308394,0,0.0726929823,1.024812611,0,0.0371503257,0.3852426388,0.1571629236,0,0.930137866
観光,1.3479222012,0,1.5591742093,4.3464667178,0,0.3877698222,1.3377207797,0.2492638169,0,1.4666529245
ホームページ,0.8775084183,0,0.1395874,0,0,0,0,1.0110645394,0,0
発展,1.2112560551,0,0.2297600249,0,0,0,0,0.0025270443,0,0
定番,0.8960792645,0,0.434729345,0,0,0,0,0.5259126594,0,0
スポット,1.4059541789,0,0.4240178198,0.8152288092,0,0.224522839,0.6615160148,0.3207676773,0,1.2052044541
コミュニケーション,2.7129565786,0,1.4034291537,0.7487925531,0,0.0173677171,0.707351484,0.1063680228,0,1.4096929959
文化,1.0121752979,0,0.9557173723,0.3812874225,0,0.2189035501,1.7473228347,0.142040711,0,1.5832308268
側,1.1282968416,0,0.7183965358,0,1.9874243273,0,0,0.9590855064,0,0
共通,1.1981172652,0,0.2272677619,0,0,0,0,0.0406666102,0,0
手段,1.3704963104,0,1.2617806484,0.9593789201,0,0.4136061204,2.7063592916,0.0815604205,0,2.1962435482
一緒,0.4030684338,0,0.7609936275,0.8724152496,0,0.1239504512,1.2888472034,0.0650350483,0,0.7016368195
ディープ,0.366162909,0,0.7782839438,0.8503610324,0,0.0297642406,1.3532960897,0.1466579774,0,0.7469786937
紹介,1.208216636,0,0.2291834854,0,0,0,0,0.0113499363,0,0
地元,0.7884321601,3.2563267477,1.0916901474,0.4706565674,2.2403109136,1.4103795458,0.529558251,1.3246961669,1.7045272369,0.8546063339
おれ,1.1317444816,0,0.1702635914,0,0,0,0,0.2990141354,0,0
いな,1.266009427,0,0.0500556571,0,0,0,0,0.1246917524,0,0
おじちゃん,1.2508868531,0,0.1420097601,0,0,0,0,0.0283669724,0,0
大阪,0.4343236976,0,1.1633691331,0,0,0,0,0.659274563,0,0
レストラン,1.3111899454,0,0.0114908806,0,0,0,0,0.0632435077,0,0
説明,0.5180482657,1.3411551364,0.3048154,0.3960373225,1.3867974255,0.2527762079,0.3918829244,0.322630442,1.420355141,0.4463318715
現地,1.5024358008,0,1.1307370048,0,0,0,0,0.6429305102,0,0
どっち,0.2446788837,2.9063839296,0.2687123637,0.3037075358,2.452401709,0.5560383788,0.3929873773,0.9772702444,0.432893623,0.1002425281
トリガー,2.1557316314,0,0.371858284,0,0,0,0,0.0520070059,0,0
旅行客,0.244928033,0,0.0551189942,0,1.9874243273,0,0,2.0777291968,0,0
自ら,0.2395110717,0,1.2295617861,0,0,0,0,1.072249281,0,0
形,1.4459402875,0,0.0133889396,0,1.9874243273,0,0,1.1686837223,0,0
スクール,2.4007727638,0,1.0594598327,0,0,0,0,0.6320146617,0,0
チラシ,1.2106800608,0,0.0918363683,0,0,0,0,0.2079977642,0,0
不特定,1.1591390889,0,0.2399180198,0,0,0,0,0.1241725281,0,0
多数,1.240870014,0,0.0647180105,0,0,0,0,0.1689326222,0,0
要,2.0165334093,0,0.1575215418,0,1.9874243273,0,0,1.2422900593,0,0
先生,1.2700503332,0,0.0580105011,0,0,0,0,0.1023316757,0,0
中間,1.2492137425,0,0.1008676329,0,0,0,0,0.0935950069,0,0
地点,1.1057560826,0,0.3409439178,0,0,0,0,0.1147633161,0,0
カフェ,0.0785729291,1.3589045303,0.9633226795,2.1883344058,3.3769350155,0.6895343277,0.9839752483,1.9549215667,3.8577541079,1.3356141459
講師,1.1226135851,0,0.3876434364,0,0,0,0,0.0014988208,0,0
街角,1.1417635666,0,0.2705511349,0,0,0,0,0.1244366197,0,0
興味,2.26572199,0,0.0059403008,0,0,0,0,0.3046940499,0,0
ティッシュ,0.4004612242,0,1.1143362059,0,0,0,0,0.8205820513,0,0
winwin,1.188579581,0,0.1799572029,0,0,0,0,0.1356398462,0,0
らな,0.9857380571,0,0.4214890466,0,0,0,0,0.3103788108,0,0
マッチング,0.5196641423,0.7078506053,1.6800634794,2.4390748649,3.1252150217,1.0049846148,1.7796310519,2.1047976089,1.9374072764,1.324821796
機能,0.5040575254,0,0.6995078681,1.6255022589,0,0.3233202831,0.7531356121,0.0261872293,0,3.9643597552
体験,1.1639073036,0,0.1665275794,0,0,0,0,0.2201979067,0,0
価値,0.9035146971,0,0.3800529766,0,0,0,0,0.5872695515,0,0
提供,0.6738262336,0,0.5202573206,0,0,0,0,0.9822518244,0,0
日本人,1.2788010744,0,0.1044670625,0,0,0,0,0.010684935,0,0
異国,1.2237080232,0,0.1511786974,0,0,0,0,0.0860794484,0,0
語,1.1382305833,0,0.2356918443,0,0,0,0,0.1852508209,0,0
手軽,1.2410508461,0,0.0447280429,0,0,0,0,0.198019411,0,0
空港,0.9638161029,5.2673368599,2.1298782925,2.04006871,1.0312227891,1.3843114061,1.0126557273,0.4326056427,1.9772910381,0.0181089259
場所,0.5808679924,0,2.0401444487,2.6921857697,0,0.4848144867,0.4031435824,0.0972877468,0,4.7766008647
誘導,1.2614572744,0,0.0112318503,0,0,0,0,0.1940412263,0,0
もともと,1.1539700607,0,0.1632735099,0,0,0,0,0.2510685647,0,0
案内,0.3679522427,2.5612429021,0.6103363465,1.2909447054,1.4720508687,0.943628869,0.0354586776,0.1422830022,0.2674376282,0.3446164869
サービス,0.290375549,0,1.1507708437,1.0596030947,0,0.029382037,0.6347158741,0.0774295324,0,0.6893484477
アプリ,0,0,0,1.1681740949,0,0,0,0,0,11.9554079861
正直,0,0,0,1.4732737199,0,0,0,0,0,1.0342170519
お墨付き,0,0,0,1.2826979192,0,0,0,0,0,1.5016177466
神戸市,0,0,0,2.9321187746,0,0,0,0,0,0.8536551404
地域,0,0,0,2.7431819442,0,0,0,0,0,1.317036144
連携,0,0,0,1.8567651409,0,0,0,0,0,0.0936770886
運営,0,0,0,1.5475201004,0,0,0,0,0,0.8521225274
信頼,0,0,0,1.7047430611,0,0,0,0,0,0.4665220432
生田神社,0,0,0,1.6987747299,0,0,0,0,0,0.4811597995
境内,0,0,0,1.3726669603,0,0,0,0,0,1.2809622796
マニュアル,0,0,0,1.6664381117,0,0,0,0,0,0.5604676536
用意,0,0,0,1.8142595281,0,0,0,0,0,0.1979251249
お寺,0,0,0,1.1320513542,0,0,0,0,0,1.8710891533
たいへん,0,0,0,1.6938834108,0,0,0,0,0,0.4931561073
歴史,0,0,0,1.6602216371,0,0,0,0,0,0.5757139993
パンフレット,0,0,0,1.6755485564,0,0,0,0,0,0.5381236406
スペース,0,0,0,1.6748533761,0,0,0,0,0,0.5398286196
暇,0,0,0,1.6746206155,0,0,0,0,0,0.5403994817
タイミング,0,0,0,1.6568247272,0,0,0,0,0,0.5840451623
ため,0,0,0,1.8837658402,0,0,0,0,0,0.027455955
何,0,0,0,1.3037921522,0,0,0,0,0,1.4498826411
相談,0,0,0,1.7695645839,0,0,0,0,0,0.3075426519
今度,0,0,0,1.6938834108,0,0,0,0,0,0.4931561073
収集,0,0,0,1.7253178489,0,0,0,0,0,0.4160609139
F,0,0,0,2.8596699251,0,0,0,0,0,1.0313410926
登録,0,9.3113931144,0,1.0752995906,4.5633211267,0,0,0,6.7186447328,0.8598382842
何人,0,0,0,1.4101281034,0,0,0,0,0,1.1890861641
看板,0,0,0,1.8491891645,0,0,0,0,0,0.1122577091
店先,0,0,0,1.6938834108,0,0,0,0,0,0.4931561073
