,0,1,2
ほん,2,1,0
一,3,4,1
おさらい,1,0,0
えと,1,0,0
最初,1,3,0
ネタ,1,0,0
僕,4,1,0
英語,8,5,1
旅行,5,1,8
こと,8,5,3
ビジネス,1,0,0
活用,1,0,0
あれ,2,0,0
ばー,1,0,0
子供,3,0,0
双子,2,0,0
６,1,0,0
その子,1,0,0
日本,3,5,0
場,1,0,1
勉強,4,1,0
仕事,1,0,0
合間,1,0,0
情報,6,4,3
発信,2,0,0
外国人,4,4,0
友達,5,2,0
無作為,1,0,0
変,2,0,1
事件,1,0,0
人,28,26,11
風,5,1,0
安全面,2,0,0
コミュニティ,1,1,0
こちら側,1,0,0
神戸,10,1,0
国際都市,1,0,0
外国,8,3,0
ほとんど,1,0,0
本当,3,0,0
日本語,4,0,0
接点,1,0,0
いろいろ,2,0,0
壁,1,0,0
融合,1,0,0
出会い系,1,4,0
今回,1,0,0
案,1,0,1
絵,1,0,2
両者,1,0,0
何か,1,1,0
知恵,1,0,0
拝借,1,0,0
深堀,1,0,0
してい,1,0,0
意見,2,0,0
観光客,6,0,1
一つ,1,0,0
街,3,0,0
昔,1,0,0
震災,1,0,0
あそこ,1,0,0
もの,1,2,0
紙,1,0,0
きっかけ,1,1,0
今,2,3,1
高校,1,0,0
時,3,1,0
相手,1,1,0
回数,1,0,0
TOEIC,1,0,0
機会,1,0,0
英会話,8,0,0
教室,2,0,0
お金,1,0,0
週,1,0,0
毎日,1,0,0
頻度,1,0,0
何回,1,0,0
環境,1,0,0
中,1,1,0
組織,1,0,0
海外,3,4,0
留学,1,1,0
大学生,1,0,0
休学,1,0,0
アメリカ,1,0,0
シアトル,1,0,0
自分,2,5,1
NOVA,1,0,0
方,2,5,3
いっぱい,1,0,0
私,1,4,1
チーム,1,0,0
ガイドブック,1,1,0
観光,3,6,0
ホームページ,1,0,0
発展,1,0,0
定番,1,0,0
スポット,2,1,0
コミュニケーション,5,1,0
文化,2,1,0
側,2,0,1
共通,1,0,0
手段,3,2,0
一緒,1,1,0
ディープ,1,1,0
紹介,1,0,0
地元,3,2,2
おれ,1,0,0
いな,1,0,0
おじちゃん,1,0,0
大阪,1,0,0
レストラン,1,0,0
説明,1,1,1
現地,2,0,0
どっち,1,1,2
トリガー,2,0,0
旅行客,1,0,1
自ら,1,0,0
形,2,0,1
スクール,3,0,0
チラシ,1,0,0
不特定,1,0,0
多数,1,0,0
要,3,0,1
先生,1,0,0
中間,1,0,0
地点,1,0,0
カフェ,2,5,4
講師,1,0,0
街角,1,0,0
興味,2,0,0
ティッシュ,1,0,0
winwin,1,0,0
らな,1,0,0
マッチング,4,5,3
機能,1,3,0
体験,1,0,0
価値,1,0,0
提供,1,0,0
日本人,1,0,0
異国,1,0,0
語,1,0,0
手軽,1,0,0
空港,4,5,1
場所,2,5,0
誘導,1,0,0
もともと,1,0,0
案内,1,2,1
サービス,1,1,0
アプリ,0,5,0
正直,0,1,0
お墨付き,0,1,0
神戸市,0,2,0
地域,0,2,0
連携,0,1,0
運営,0,1,0
信頼,0,1,0
生田神社,0,1,0
境内,0,1,0
マニュアル,0,1,0
用意,0,1,0
お寺,0,1,0
たいへん,0,1,0
歴史,0,1,0
パンフレット,0,1,0
スペース,0,1,0
暇,0,1,0
タイミング,0,1,0
ため,0,1,0
何,0,1,0
相談,0,1,0
今度,0,1,0
収集,0,1,0
F,0,2,0
登録,0,5,7
何人,0,1,0
看板,0,1,0
店先,0,1,0
スマホ,0,1,0
お互い,0,1,0
反応,0,2,0
よね,0,1,0
事前,0,1,0
完全,0,1,0
きれい,0,1,0
要素,0,1,0
コース,0,1,0
掲示,0,1,0
表示,0,1,0
みなさん,0,1,0
やり方,0,1,0
簡単,0,1,0
インターネット,0,1,0
おっさん,0,1,0
飯,0,1,0
ぐるナビ,0,1,0
すね,0,1,0
学校,0,1,0
誰,0,2,0
状態,0,1,0
ランゲージ,0,1,0
サイト,0,1,0
メッセージ,0,1,0
やりとり,0,1,0
不安,0,1,0
公認,0,4,4
ネット,0,1,0
店舗,0,1,0
斡旋,0,1,0
交換,0,1,0
店,0,1,0
店主,0,1,0
複数,0,1,0
検定,0,1,0
市,0,1,0
不満,0,0,1
実名,0,0,1
パック,0,0,2
自由,0,0,1
時間,0,0,1
航空,0,0,1
具現,0,0,1
話,0,0,3
二人,0,0,3
シャットアウト,0,0,1
絵心,0,0,2
チケット,0,0,1
契機,0,0,1
有料,0,0,1
排除,0,0,1
プロフィール,0,0,9
ジャンル,0,0,1
お酒,0,0,2
閉鎖,0,0,1
空間,0,0,1
個々,0,0,1
状況,0,0,1
訳,0,0,1
画面,0,0,3
認識,0,0,1
取っ手,0,0,1
半分,0,0,1
安心,0,0,1
自然,0,0,1
