"","time1","time2","time3","time1","time2","time3","idf"
"ほん",0.128831142786701,0.0930171269271149,0,0.109541790906722,0.0790900588801256,0,1.17609125905568
"一",0.148760253177199,0.220145177020621,0.136459614506101,0.148760253177199,0.220145177020621,0.136459614506101,1
"おさらい",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"えと",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"最初",0.0724716226398125,0.214634370630173,0,0.0616207476093327,0.182498057848427,0,1.17609125905568
"ネタ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"僕",0.213997316264205,0.0930171269271149,0,0.181956386986525,0.0790900588801256,0,1.17609125905568
"英語",0.279443954003938,0.252209331436653,0.136459614506101,0.279443954003938,0.252209331436653,0.136459614506101,1
"旅行",0.210735898276911,0.0790900588801256,0.451046102796984,0.210735898276911,0.0790900588801256,0.451046102796984,1
"こと",0.279443954003938,0.252209331436653,0.279443954003938,0.279443954003938,0.252209331436653,0.279443954003938,1
"ビジネス",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"活用",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"あれ",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"ばー",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"子供",0.219736931825519,0,0,0.148760253177199,0,0,1.47712125471966
"双子",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"６",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"その子",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"日本",0.174955633456614,0.296621190154925,0,0.148760253177199,0.252209331436653,0,1.17609125905568
"場",0.0724716226398125,0,0.160488959834733,0.0616207476093327,0,0.136459614506101,1.17609125905568
"勉強",0.213997316264205,0.0930171269271149,0,0.181956386986525,0.0790900588801256,0,1.17609125905568
"仕事",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"合間",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"情報",0.236137204870189,0.220145177020621,0.279443954003938,0.236137204870189,0.220145177020621,0.279443954003938,1
"発信",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"外国人",0.213997316264205,0.258910818417218,0,0.181956386986525,0.220145177020621,0,1.17609125905568
"友達",0.247844647932722,0.161013008622607,0,0.210735898276911,0.136905199645722,0,1.17609125905568
"無作為",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"変",0.128831142786701,0,0.160488959834733,0.109541790906722,0,0.136459614506101,1.17609125905568
"事件",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"人",0.503436296282705,0.546469226753442,0.51254945880459,0.503436296282705,0.546469226753442,0.51254945880459,1
"風",0.247844647932722,0.0930171269271149,0,0.210735898276911,0.0790900588801256,0,1.17609125905568
"安全面",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"コミュニティ",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
