"","time1","time1","idf"
"神戸",0.00924214417744917,0.00924214417744917,1
"イベント",0.0462107208872458,0.0462107208872458,1
"認知",0.00184842883548983,0.00184842883548983,1
"労力",0.00184842883548983,0.00184842883548983,1
"結果",0.00184842883548983,0.00184842883548983,1
"電車",0.0295748613678373,0.0295748613678373,1
"窓",0.0258780036968577,0.0258780036968577,1
"目",0.0055452865064695,0.0055452865064695,1
"今回",0.00184842883548983,0.00184842883548983,1
"移動",0.00184842883548983,0.00184842883548983,1
"駅",0.0314232902033272,0.0314232902033272,1
"周辺",0.00369685767097967,0.00369685767097967,1
"表示",0.011090573012939,0.011090573012939,1
"こと",0.011090573012939,0.011090573012939,1
"地域",0.00184842883548983,0.00184842883548983,1
"人",0.0536044362292052,0.0536044362292052,1
"参加",0.0055452865064695,0.0055452865064695,1
"みんな",0.00369685767097967,0.00369685767097967,1
"活性化",0.00184842883548983,0.00184842883548983,1
"提案",0.00184842883548983,0.00184842883548983,1
"これ",0.0314232902033272,0.0314232902033272,1
"とき",0.00924214417744917,0.00924214417744917,1
"ディスプレイ",0.00369685767097967,0.00369685767097967,1
"電光",0.00184842883548983,0.00184842883548983,1
"掲示",0.00184842883548983,0.00184842883548983,1
"僕",0.00924214417744917,0.00924214417744917,1
"全部",0.0055452865064695,0.0055452865064695,1
"ブラインド",0.0055452865064695,0.0055452865064695,1
"それ",0.0369685767097967,0.0369685767097967,1
"今",0.0129390018484288,0.0129390018484288,1
"シート",0.00369685767097967,0.00369685767097967,1
"内",0.00184842883548983,0.00184842883548983,1
"内側",0.00369685767097967,0.00369685767097967,1
"外",0.00369685767097967,0.00369685767097967,1
"ぼく",0.00184842883548983,0.00184842883548983,1
"つもり",0.00184842883548983,0.00184842883548983,1
"外側",0.00184842883548983,0.00184842883548983,1
"どっち",0.00184842883548983,0.00184842883548983,1
"他",0.00369685767097967,0.00369685767097967,1
"バス",0.00739371534195933,0.00739371534195933,1
"東京",0.00184842883548983,0.00184842883548983,1
"画面",0.00184842883548983,0.00184842883548983,1
"後ろ",0.00184842883548983,0.00184842883548983,1
"トラック",0.00184842883548983,0.00184842883548983,1
"そこ",0.00739371534195933,0.00739371534195933,1
"情報",0.033271719038817,0.033271719038817,1
"装飾",0.00184842883548983,0.00184842883548983,1
"そこら",0.0055452865064695,0.0055452865064695,1
"自然",0.00184842883548983,0.00184842883548983,1
"ほお",0.00184842883548983,0.00184842883548983,1
"正直",0.00184842883548983,0.00184842883548983,1
"プロトタイプ",0.00184842883548983,0.00184842883548983,1
"一枚",0.00369685767097967,0.00369685767097967,1
"どこ",0.00924214417744917,0.00924214417744917,1
"問題",0.00184842883548983,0.00184842883548983,1
"皆さん",0.00184842883548983,0.00184842883548983,1
"アイデア",0.00369685767097967,0.00369685767097967,1
"一",0.00369685767097967,0.00369685767097967,1
"音楽",0.00739371534195933,0.00739371534195933,1
"車内",0.00369685767097967,0.00369685767097967,1
"音声",0.00184842883548983,0.00184842883548983,1
"どこら辺",0.00184842883548983,0.00184842883548983,1
"景色",0.00369685767097967,0.00369685767097967,1
"判断",0.00184842883548983,0.00184842883548983,1
"自分",0.00924214417744917,0.00924214417744917,1
"何",0.0166358595194085,0.0166358595194085,1
"ここ",0.0129390018484288,0.0129390018484288,1
"ろって",0.00184842883548983,0.00184842883548983,1
"柱",0.00369685767097967,0.00369685767097967,1
"逆",0.00739371534195933,0.00739371534195933,1
"向こう",0.00184842883548983,0.00184842883548983,1
"ホーム",0.00184842883548983,0.00184842883548983,1
"ここら辺",0.00369685767097967,0.00369685767097967,1
"線路",0.00184842883548983,0.00184842883548983,1
"はいはい",0.00184842883548983,0.00184842883548983,1
"やつか",0.00184842883548983,0.00184842883548983,1
"あれ",0.011090573012939,0.011090573012939,1
"アイコン",0.00184842883548983,0.00184842883548983,1
"下",0.00184842883548983,0.00184842883548983,1
"興味",0.0055452865064695,0.0055452865064695,1
"だめ",0.00184842883548983,0.00184842883548983,1
"開催",0.00184842883548983,0.00184842883548983,1
"メイン",0.00369685767097967,0.00369685767097967,1
"さいの",0.00184842883548983,0.00184842883548983,1
"スーパー",0.00184842883548983,0.00184842883548983,1
"セール",0.00369685767097967,0.00369685767097967,1
"ほか",0.00184842883548983,0.00184842883548983,1
"お店",0.00739371534195933,0.00739371534195933,1
"広告",0.0055452865064695,0.0055452865064695,1
"以上",0.00184842883548983,0.00184842883548983,1
"大勢",0.00184842883548983,0.00184842883548983,1
"もの",0.00924214417744917,0.00924214417744917,1
"時間",0.00924214417744917,0.00924214417744917,1
"朝",0.00369685767097967,0.00369685767097967,1
"サラリーマン",0.00184842883548983,0.00184842883548983,1
"学生",0.0055452865064695,0.0055452865064695,1
"ほとんど",0.00184842883548983,0.00184842883548983,1
"昼間",0.00184842883548983,0.00184842883548983,1
"主婦",0.00184842883548983,0.00184842883548983,1
"晩御飯",0.00184842883548983,0.00184842883548983,1
"お酒",0.00184842883548983,0.00184842883548983,1
"今日",0.00184842883548983,0.00184842883548983,1
"いついつ",0.00184842883548983,0.00184842883548983,1
"子",0.00184842883548983,0.00184842883548983,1
"帯",0.00369685767097967,0.00369685767097967,1
"吊革",0.00184842883548983,0.00184842883548983,1
"表現",0.00369685767097967,0.00369685767097967,1
"誰",0.011090573012939,0.011090573012939,1
"議論",0.00184842883548983,0.00184842883548983,1
"ジャンル",0.00184842883548983,0.00184842883548983,1
"中",0.00369685767097967,0.00369685767097967,1
"趣味",0.00184842883548983,0.00184842883548983,1
"形",0.00369685767097967,0.00369685767097967,1
"方",0.00184842883548983,0.00184842883548983,1
"おじいさん",0.00184842883548983,0.00184842883548983,1
"おばあさん",0.00184842883548983,0.00184842883548983,1
"じじ",0.00184842883548983,0.00184842883548983,1
"ばば",0.00184842883548983,0.00184842883548983,1
"健康",0.00184842883548983,0.00184842883548983,1
"相談",0.00184842883548983,0.00184842883548983,1
"時",0.00184842883548983,0.00184842883548983,1
"変化",0.00184842883548983,0.00184842883548983,1
"お金",0.00184842883548983,0.00184842883548983,1
"ただ",0.00184842883548983,0.00184842883548983,1
"花火",0.00369685767097967,0.00369685767097967,1
"大会",0.00184842883548983,0.00184842883548983,1
"三宮",0.00369685767097967,0.00369685767097967,1
"町",0.00184842883548983,0.00184842883548983,1
"ターゲット",0.00184842883548983,0.00184842883548983,1
"ボランティア",0.00184842883548983,0.00184842883548983,1
"コア",0.00184842883548983,0.00184842883548983,1
"やつ",0.00739371534195933,0.00739371534195933,1
"チャリティ",0.00184842883548983,0.00184842883548983,1
"周り",0.00184842883548983,0.00184842883548983,1
"ニーズ",0.00184842883548983,0.00184842883548983,1
"祭り",0.0055452865064695,0.0055452865064695,1
"近辺",0.00184842883548983,0.00184842883548983,1
"アナウンス",0.00184842883548983,0.00184842883548983,1
"各駅",0.00184842883548983,0.00184842883548983,1
"頭",0.00184842883548983,0.00184842883548983,1
"メリット",0.00184842883548983,0.00184842883548983,1
"今度",0.00184842883548983,0.00184842883548983,1
"地元",0.00184842883548983,0.00184842883548983,1
"マニアック",0.00739371534195933,0.00739371534195933,1
"テデックス",0.00369685767097967,0.00369685767097967,1
"半分",0.00184842883548983,0.00184842883548983,1
"六",0.00184842883548983,0.00184842883548983,1
"実際",0.00184842883548983,0.00184842883548983,1
"話",0.00369685767097967,0.00369685767097967,1
"そっち",0.00369685767097967,0.00369685767097967,1
"自由",0.00184842883548983,0.00184842883548983,1
"何々",0.00184842883548983,0.00184842883548983,1
"側",0.00369685767097967,0.00369685767097967,1
"発信",0.00739371534195933,0.00739371534195933,1
"大事",0.00369685767097967,0.00369685767097967,1
"価値",0.00184842883548983,0.00184842883548983,1
"人数",0.00184842883548983,0.00184842883548983,1
"理解者",0.00184842883548983,0.00184842883548983,1
"参加者",0.00184842883548983,0.00184842883548983,1
"発想",0.00184842883548983,0.00184842883548983,1
"下敷き",0.00184842883548983,0.00184842883548983,1
"紙",0.00739371534195933,0.00739371534195933,1
"何枚",0.00369685767097967,0.00369685767097967,1
"ため",0.00184842883548983,0.00184842883548983,1
"タイプ",0.00369685767097967,0.00369685767097967,1
"たくさん",0.00184842883548983,0.00184842883548983,1
"物",0.00184842883548983,0.00184842883548983,1
"文字",0.00369685767097967,0.00369685767097967,1
"コンテクスト",0.00184842883548983,0.00184842883548983,1
"粘土",0.00184842883548983,0.00184842883548983,1
"必要",0.00184842883548983,0.00184842883548983,1
"理解",0.00184842883548983,0.00184842883548983,1
"一言",0.00184842883548983,0.00184842883548983,1
"めんど",0.00369685767097967,0.00369685767097967,1
"いわな",0.00184842883548983,0.00184842883548983,1
"場所",0.00184842883548983,0.00184842883548983,1
"ごめん",0.00184842883548983,0.00184842883548983,1
"サービス",0.00369685767097967,0.00369685767097967,1
"拡散",0.00184842883548983,0.00184842883548983,1
"ツイッター",0.00184842883548983,0.00184842883548983,1
"やな",0.0055452865064695,0.0055452865064695,1
"テープ",0.00924214417744917,0.00924214417744917,1
"リボン",0.00184842883548983,0.00184842883548983,1
"りぼん",0.00184842883548983,0.00184842883548983,1
"適当",0.00184842883548983,0.00184842883548983,1
"ポストイット",0.00184842883548983,0.00184842883548983,1
"糊",0.00184842883548983,0.00184842883548983,1
"どれ",0.00184842883548983,0.00184842883548983,1
"ティッシュ",0.00184842883548983,0.00184842883548983,1
"レシート",0.00184842883548983,0.00184842883548983,1
"絵",0.00184842883548983,0.00184842883548983,1
"看板",0.00184842883548983,0.00184842883548983,1
"気合",0.00739371534195933,0.00739371534195933,1
"なにこれ",0.00184842883548983,0.00184842883548983,1
"お祭り",0.00184842883548983,0.00184842883548983,1
"ポスター",0.00184842883548983,0.00184842883548983,1
"明石",0.00184842883548983,0.00184842883548983,1
"メリケン",0.00184842883548983,0.00184842883548983,1
"パーク",0.00184842883548983,0.00184842883548983,1
"ホワイト",0.00369685767097967,0.00369685767097967,1
"ボード",0.00369685767097967,0.00369685767097967,1
"マーカー",0.00184842883548983,0.00184842883548983,1
"俺",0.00184842883548983,0.00184842883548983,1
"辺",0.00184842883548983,0.00184842883548983,1
"拡大",0.00184842883548983,0.00184842883548983,1
"芦屋",0.0055452865064695,0.0055452865064695,1
"川",0.00184842883548983,0.00184842883548983,1
"字",0.00184842883548983,0.00184842883548983,1
"色変",0.00184842883548983,0.00184842883548983,1
"黒",0.00184842883548983,0.00184842883548983,1
"いっか",0.00184842883548983,0.00184842883548983,1
"せや",0.00184842883548983,0.00184842883548983,1
"統一",0.00184842883548983,0.00184842883548983,1
"どこら",0.00184842883548983,0.00184842883548983,1
"チラシ",0.00184842883548983,0.00184842883548983,1
"利益",0.00184842883548983,0.00184842883548983,1
"経費",0.00184842883548983,0.00184842883548983,1
"中川",0.00184842883548983,0.00184842883548983,1
"してん",0.00184842883548983,0.00184842883548983,1
"ビジュアル",0.00184842883548983,0.00184842883548983,1
"日にち",0.00184842883548983,0.00184842883548983,1
"黄色",0.00184842883548983,0.00184842883548983,1
"十三",0.00369685767097967,0.00369685767097967,1
"こっか",0.00184842883548983,0.00184842883548983,1
"前回",0.00184842883548983,0.00184842883548983,1
"やつで",0.00184842883548983,0.00184842883548983,1
"本間",0.00184842883548983,0.00184842883548983,1
"西北",0.00184842883548983,0.00184842883548983,1
"六甲",0.00184842883548983,0.00184842883548983,1
"今年",0.00184842883548983,0.00184842883548983,1
"ビエンナーレ",0.00369685767097967,0.00369685767097967,1
"駅名",0.00184842883548983,0.00184842883548983,1
