"","time1","time2","time3","time1","time2","time3","idf"
"神戸",0.00811097420038401,0.022051711107294,0,0.00689655172413793,0.01875,0,1.17609125905568
"イベント",0.0655172413793104,0.03125,0.010989010989011,0.0655172413793104,0.03125,0.010989010989011,1
"認知",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"労力",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"結果",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"電車",0.0482758620689655,0.00625,0.010989010989011,0.0482758620689655,0.00625,0.010989010989011,1
"窓",0.0446103581021121,0.022051711107294,0,0.0379310344827586,0.01875,0,1.17609125905568
"目",0.0152805647039965,0,0,0.0103448275862069,0,0,1.47712125471966
"今回",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"移動",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"駅",0.0413793103448276,0.01875,0.021978021978022,0.0413793103448276,0.01875,0.021978021978022,1
"周辺",0.004055487100192,0.00735057036909801,0,0.00344827586206897,0.00625,0,1.17609125905568
"表示",0.030561129407993,0,0,0.0206896551724138,0,0,1.47712125471966
"こと",0.012166461300576,0,0.038772239309528,0.0103448275862069,0,0.032967032967033,1.17609125905568
"地域",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"人",0.0344827586206897,0.1125,0.010989010989011,0.0344827586206897,0.1125,0.010989010989011,1
"参加",0.00811097420038401,0.00735057036909801,0,0.00689655172413793,0.00625,0,1.17609125905568
"みんな",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"活性化",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"提案",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"これ",0.0172413793103448,0.04375,0.0549450549450549,0.0172413793103448,0.04375,0.0549450549450549,1
"とき",0.0254676078399942,0,0,0.0172413793103448,0,0,1.47712125471966
"ディスプレイ",0.0101870431359977,0,0,0.00689655172413793,0,0,1.47712125471966
"電光",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"掲示",0.00509352156799884,0,0,0.00344827586206897,0,0,1.47712125471966
"僕",0.016221948400768,0.00735057036909801,0,0.0137931034482759,0.00625,0,1.17609125905568
