,0,1,2,3,4
ほん,2,0,0,1,0
一,2,2,2,2,0
おさらい,1,0,0,0,0
えと,1,0,0,0,0
最初,2,2,0,0,0
ネタ,1,0,0,0,0
僕,5,0,0,0,0
英語,7,1,3,3,0
旅行,5,3,3,1,2
こと,8,3,2,3,0
ビジネス,1,0,0,0,0
活用,1,0,0,0,0
あれ,2,0,0,0,0
ばー,1,0,0,0,0
子供,3,0,0,0,0
双子,2,0,0,0,0
６,1,0,0,0,0
その子,1,0,0,0,0
日本,1,1,4,2,0
場,2,0,0,0,0
勉強,2,0,0,3,0
仕事,1,0,0,0,0
合間,1,0,0,0,0
情報,8,1,1,2,1
発信,2,0,0,0,0
外国人,2,1,0,4,1
友達,2,3,2,0,0
無作為,1,0,0,0,0
変,3,0,0,0,0
事件,1,0,0,0,0
人,31,5,11,12,6
風,5,0,0,1,0
安全面,2,0,0,0,0
コミュニティ,2,0,0,0,0
こちら側,1,0,0,0,0
神戸,9,2,0,0,0
国際都市,1,0,0,0,0
外国,7,1,0,2,1
ほとんど,1,0,0,0,0
本当,2,1,0,0,0
日本語,3,0,1,0,0
接点,1,0,0,0,0
いろいろ,2,0,0,0,0
壁,1,0,0,0,0
融合,1,0,0,0,0
出会い系,4,0,1,0,0
今回,1,0,0,0,0
案,1,0,1,0,0
絵,2,0,1,0,0
両者,1,0,0,0,0
何か,2,0,0,0,0
知恵,1,0,0,0,0
拝借,1,0,0,0,0
深堀,1,0,0,0,0
してい,1,0,0,0,0
意見,2,0,0,0,0
一つ,1,0,0,0,0
街,3,0,0,0,0
昔,1,0,0,0,0
震災,1,0,0,0,0
観光客,3,2,0,0,2
あそこ,1,0,0,0,0
もの,2,0,0,1,0
中,1,0,0,0,1
組織,1,0,0,0,0
海外,1,1,5,0,0
留学,1,1,0,0,0
方,5,1,0,2,2
側,3,0,0,0,0
ディープ,1,0,0,1,0
スポット,2,1,0,0,0
紹介,1,0,0,0,0
地元,4,1,0,0,2
おれ,1,0,0,0,0
いな,1,0,0,0,0
どっち,2,0,1,0,1
トリガー,2,0,0,0,0
旅行客,2,0,0,0,0
時,1,1,1,1,0
自ら,1,0,0,0,0
形,2,1,0,0,0
英会話,5,2,0,1,0
スクール,3,0,0,0,0
チラシ,1,0,0,0,0
不特定,1,0,0,0,0
多数,1,0,0,0,0
要,4,0,0,0,0
先生,1,0,0,0,0
中間,1,0,0,0,0
地点,1,0,0,0,0
カフェ,1,1,4,2,3
現地,1,0,1,0,0
講師,1,0,0,0,0
街角,1,0,0,0,0
興味,2,0,0,0,0
ティッシュ,1,0,0,0,0
winwin,1,0,0,0,0
らな,1,0,0,0,0
マッチング,5,3,1,2,1
今,4,0,2,0,0
機能,3,0,1,0,0
体験,1,0,0,0,0
価値,1,0,0,0,0
提供,1,0,0,0,0
