,topic1,topic2,topic3
ほん,0.1091366383,0.1091366383,0.1091366383
一,0.2910310354,0.2910310354,0.2910310354
おさらい,0.0363788794,0.0363788794,0.0363788794
えと,0.0530702576,0.0530702576,0.0003649365
最初,0.1455155177,0.1455155177,0.1455155177
ネタ,0.0301376132,0.0448363637,0.034085576
僕,0.1818943971,0.1818943971,0.1818943971
英語,0.5093043119,0.5093043119,0.5093043119
旅行,0.5264160129,0.4760209368,0.5264160129
こと,0.5820620708,0.5820620708,0.5820620708
ビジネス,0.0363788794,0.0363788794,0.0363788794
活用,0.0363788794,0.0363788794,0.0363788794
あれ,0.0727577588,0.0727577588,0.0727577588
ばー,0.0363788794,0.0363788794,0.0363788794
子供,0.1091366383,0.1091366383,0.1091366383
双子,0.0592440926,0.0819145997,0.0776085072
６,0.0363788794,0.0363788794,0.0363788794
その子,0.0363788794,0.0363788794,0.0363788794
日本,0.2591328896,0.3077400681,0.3077400681
場,0.1003340805,0.0191200137,0.1003340805
勉強,0.1818943971,0.1818943971,0.1818943971
仕事,0.0364315414,0.0364315414,0.036265254
合間,0.0363788794,0.0363788794,0.0363788794
情報,0.3738037663,0.5248477974,0.5248477974
発信,0.0915543514,0.0915543514,0.0322015264
外国人,0.2910310354,0.2910310354,0.2910310354
友達,0.254652156,0.254652156,0.254652156
無作為,0.0363788794,0.0363788794,0.0363788794
変,0.1144958092,0.0869392142,0.127119096
事件,0.0363788794,0.0363788794,0.0363788794
人,2.6123592462,2.1296545876,2.3476569916
風,0.1303796388,0.2643141242,0.2643141242
安全面,0.0727577588,0.0727577588,0.0727577588
コミュニティ,0.0727577588,0.0727577588,0.0727577588
こちら側,0.0363788794,0.0363788794,0.0363788794
神戸,0.4794427233,0.4794427233,0.2291208561
国際都市,0.0101231443,0.0501322788,0.0501322788
外国,0.4001676737,0.4001676737,0.4001676737
ほとんど,0.0363788794,0.0363788794,0.0363788794
本当,0.1091366383,0.1091366383,0.1091366383
日本語,0.1455155177,0.1455155177,0.1455155177
接点,0.0363788794,0.0363788794,0.0363788794
いろいろ,0.0727577588,0.0727577588,0.0727577588
壁,0.0363788794,0.0363788794,0.0363788794
融合,0.0363788794,0.0363788794,0.0363788794
出会い系,0.1818943971,0.1818943971,0.1818943971
今回,0.0363788794,0.0363788794,0.0363788794
案,0.0727577588,0.0727577588,0.0727577588
絵,0.1159977762,0.1159977762,0.09433279
両者,0.0363788794,0.0363788794,0.0363788794
何か,0.0727577588,0.0727577588,0.0727577588
知恵,0.0363788794,0.0363788794,0.0363788794
拝借,0.0171569585,0.046447794,0.046447794
深堀,0.0513339533,0.0513339533,0.0041112517
してい,0.0363788794,0.0363788794,0.0363788794
意見,0.0727577588,0.0727577588,0.0727577588
観光客,0.254652156,0.254652156,0.254652156
一つ,0.0431649226,0.0231795826,0.0431649226
街,0.1091366383,0.1091366383,0.1091366383
昔,0.0363788794,0.0363788794,0.0363788794
震災,0.0363788794,0.0363788794,0.0363788794
あそこ,0.0113911161,0.049468084,0.049468084
もの,0.1091366383,0.1091366383,0.1091366383
紙,0.0363788794,0.0363788794,0.0363788794
きっかけ,0.0937569865,0.0319128907,0.0937569865
今,0.2182732765,0.2182732765,0.2182732765
高校,0.0363788794,0.0363788794,0.0363788794
時,0.1455155177,0.1455155177,0.1455155177
相手,0.0354319767,0.0923099209,0.0923099209
回数,0.0380181768,0.0331903391,0.0380181768
TOEIC,0.0363788794,0.0363788794,0.0363788794
機会,0.0363788794,0.0363788794,0.0363788794
英会話,0.2910310354,0.2910310354,0.2910310354
教室,0.105570913,0.0089340327,0.105570913
お金,0.0363788794,0.0363788794,0.0363788794
週,0.0363788794,0.0363788794,0.0363788794
毎日,0.0363788794,0.0363788794,0.0363788794
頻度,0.0400904493,0.0291596338,0.0400904493
何回,0.0334138177,0.0379320516,0.0379320516
環境,0.0363788794,0.0363788794,0.0363788794
中,0.0727577588,0.0727577588,0.0727577588
組織,0.0363788794,0.0363788794,0.0363788794
海外,0.254652156,0.254652156,0.254652156
留学,0.0692263339,0.1105196859,0.0361034239
大学生,0.0363788794,0.0363788794,0.0363788794
休学,0.0363788794,0.0363788794,0.0363788794
アメリカ,0.0363788794,0.0363788794,0.0363788794
シアトル,0.0439310462,0.0439310462,0.0200840415
自分,0.2910310354,0.2910310354,0.2910310354
NOVA,0.0498100447,0.0498100447,0.007399294
方,0.3637887942,0.3637887942,0.3637887942
いっぱい,0.0363788794,0.0363788794,0.0363788794
私,0.2182732765,0.2182732765,0.2182732765
チーム,0.0057973044,0.05239826,0.05239826
ガイドブック,0.0907845024,0.0907845024,0.0338625816
観光,0.3274099148,0.3274099148,0.3274099148
ホームページ,0.035796083,0.0429009032,0.030018703
発展,0.0363788794,0.0363788794,0.0363788794
定番,0.0363788794,0.0363788794,0.0363788794
スポット,0.1398764701,0.0493456595,0.1398764701
コミュニケーション,0.2182732765,0.2182732765,0.2182732765
文化,0.1547763014,0.0203645151,0.1547763014
側,0.110650454,0.1061921679,0.110650454
共通,0.0363788794,0.0363788794,0.0363788794
手段,0.1818943971,0.1818943971,0.1818943971
一緒,0.0727577588,0.0727577588,0.0727577588
ディープ,0.0727577588,0.0727577588,0.0727577588
紹介,0.0363788794,0.0363788794,0.0363788794
地元,0.254652156,0.254652156,0.254652156
おれ,0.0363788794,0.0363788794,0.0363788794
いな,0.0363788794,0.0363788794,0.0363788794
おじちゃん,0.0363788794,0.0363788794,0.0363788794
大阪,0.0169543317,0.0465539349,0.0465539349
レストラン,0.0472566919,0.0472566919,0.0129085036
説明,0.1091366383,0.1091366383,0.1091366383
現地,0.0666126689,0.075976708,0.075976708
どっち,0.1455155177,0.1455155177,0.1455155177
トリガー,0.0727577588,0.0727577588,0.0727577588
旅行客,0.0727577588,0.0727577588,0.0727577588
自ら,0.01078232,0.0497869863,0.0497869863
形,0.1354079812,0.1354079812,0.0524526045
スクール,0.1091366383,0.1091366383,0.1091366383
チラシ,0.0363788794,0.0363788794,0.0363788794
不特定,0.0363788794,0.0363788794,0.0363788794
多数,0.0363788794,0.0363788794,0.0363788794
要,0.1455155177,0.1455155177,0.1455155177
先生,0.0363788794,0.0363788794,0.0363788794
中間,0.0363788794,0.0363788794,0.0363788794
地点,0.0363788794,0.0363788794,0.0363788794
カフェ,0.3874727168,0.4068176041,0.4068176041
講師,0.0363788794,0.0363788794,0.0363788794
街角,0.0363788794,0.0363788794,0.0363788794
興味,0.1045961398,0.1045961398,0.0040620752
ティッシュ,0.0210197006,0.0444243948,0.0444243948
winwin,0.0363788794,0.0363788794,0.0363788794
らな,0.0363788794,0.0363788794,0.0363788794
マッチング,0.4365465531,0.4365465531,0.4365465531
機能,0.1455155177,0.1455155177,0.1455155177
体験,0.0363788794,0.0363788794,0.0363788794
価値,0.0363788794,0.0363788794,0.0363788794
提供,0.0273437035,0.0411117266,0.0411117266
日本人,0.0363788794,0.0363788794,0.0363788794
異国,0.0363788794,0.0363788794,0.0363788794
語,0.0363788794,0.0363788794,0.0363788794
手軽,0.0363788794,0.0363788794,0.0363788794
空港,0.3637887942,0.3637887942,0.3637887942
場所,0.254652156,0.254652156,0.254652156
誘導,0.0468194255,0.0468194255,0.013851966
