,topic1,topic2,topic3
神戸,0.1117338048,0.1117338048,0.1117338048
イベント,0.5586690239,0.5586690239,0.5586690239
認知,0.0269350852,0.0269350852,0.0132210179
労力,0.022346761,0.022346761,0.022346761
結果,0.022346761,0.022346761,0.022346761
電車,0.3575481753,0.3575481753,0.3575481753
窓,0.3128546534,0.3128546534,0.3128546534
目,0.0670402829,0.0670402829,0.0670402829
今回,0.022346761,0.022346761,0.022346761
移動,0.022346761,0.022346761,0.022346761
駅,0.3798949362,0.3798949362,0.3798949362
周辺,0.0617025672,0.0104643198,0.0617025672
表示,0.1340805657,0.1340805657,0.1340805657
こと,0.1340805657,0.1340805657,0.1340805657
地域,0.022346761,0.022346761,0.022346761
人,0.6480560677,0.6480560677,0.6480560677
参加,0.0670402829,0.0670402829,0.0670402829
みんな,0.0446935219,0.0446935219,0.0446935219
活性化,0.022346761,0.022346761,0.022346761
提案,0.022346761,0.022346761,0.022346761
これ,0.3798949362,0.3798949362,0.3798949362
とき,0.1208897286,0.1208897286,0.0935235381
ディスプレイ,0.0446935219,0.0446935219,0.0446935219
電光,0.022346761,0.022346761,0.022346761
掲示,0.022346761,0.022346761,0.022346761
僕,0.1117338048,0.1117338048,0.1117338048
全部,0.0670402829,0.0670402829,0.0670402829
ブラインド,0.0670402829,0.0670402829,0.0670402829
それ,0.4469352191,0.4469352191,0.4469352191
今,0.1564273267,0.1564273267,0.1564273267
シート,0.0446935219,0.0446935219,0.0446935219
内,0.0321027661,0.034617854,0.0004475269
内側,0.0446935219,0.0446935219,0.0446935219
外,0.0567921549,0.020346091,0.0567921549
ぼく,0.022346761,0.022346761,0.022346761
つもり,0.022346761,0.022346761,0.022346761
外側,0.0106960902,0.0281756646,0.0281756646
どっち,0.022346761,0.022346761,0.022346761
他,0.0446935219,0.0446935219,0.0446935219
バス,0.0893870438,0.0893870438,0.0893870438
東京,0.022346761,0.022346761,0.022346761
画面,0.022346761,0.022346761,0.022346761
後ろ,0.022346761,0.022346761,0.022346761
トラック,0.022346761,0.022346761,0.022346761
そこ,0.0893870438,0.0893870438,0.0893870438
情報,0.4022416972,0.4022416972,0.4022416972
装飾,0.022346761,0.022346761,0.022346761
そこら,0.0670402829,0.0670402829,0.0670402829
自然,0.022346761,0.022346761,0.022346761
ほお,0.022346761,0.022346761,0.022346761
正直,0.022346761,0.022346761,0.022346761
プロトタイプ,0.022346761,0.022346761,0.022346761
一枚,0.0395491332,0.0569519832,0.0376581715
どこ,0.1117338048,0.1117338048,0.1117338048
問題,0.022346761,0.022346761,0.022346761
皆さん,0.022346761,0.022346761,0.022346761
アイデア,0.0446935219,0.0446935219,0.0446935219
一,0.0446935219,0.0446935219,0.0446935219
音楽,0.0893870438,0.0893870438,0.0893870438
車内,0.0446935219,0.0446935219,0.0446935219
音声,0.022346761,0.022346761,0.022346761
どこら辺,0.0119301486,0.0275582575,0.0275582575
景色,0.0446935219,0.0446935219,0.0446935219
判断,0.0231329271,0.0231329271,0.0207831509
自分,0.1117338048,0.1117338048,0.1117338048
何,0.2011208486,0.2011208486,0.2011208486
ここ,0.1564273267,0.1564273267,0.1564273267
ろって,0.022346761,0.022346761,0.022346761
柱,0.0355515622,0.0492673017,0.0492673017
逆,0.0893870438,0.0893870438,0.0893870438
向こう,0.022346761,0.022346761,0.022346761
ホーム,0.022346761,0.022346761,0.022346761
ここら辺,0.0446935219,0.0446935219,0.0446935219
線路,0.022346761,0.022346761,0.022346761
