,0,1,2,3
ほん,1,1,1,0
一,3,1,4,0
おさらい,1,0,0,0
えと,1,0,0,0
最初,1,0,3,0
ネタ,1,0,0,0
僕,4,0,1,0
英語,7,4,2,1
旅行,5,1,4,4
こと,7,2,4,3
ビジネス,1,0,0,0
活用,1,0,0,0
あれ,2,0,0,0
ばー,1,0,0,0
子供,3,0,0,0
双子,2,0,0,0
６,1,0,0,0
その子,1,0,0,0
日本,2,5,1,0
場,1,0,0,1
勉強,4,1,0,0
仕事,1,0,0,0
合間,1,0,0,0
情報,4,4,2,3
発信,2,0,0,0
外国人,3,4,1,0
友達,5,1,1,0
無作為,1,0,0,0
変,2,0,1,0
事件,1,0,0,0
人,20,19,16,10
風,4,2,0,0
安全面,2,0,0,0
コミュニティ,1,1,0,0
こちら側,1,0,0,0
神戸,10,0,1,0
国際都市,1,0,0,0
外国,7,3,1,0
ほとんど,1,0,0,0
本当,3,0,0,0
日本語,4,0,0,0
接点,1,0,0,0
いろいろ,1,1,0,0
壁,1,0,0,0
融合,1,0,0,0
出会い系,1,0,4,0
今回,1,0,0,0
案,1,0,1,0
絵,1,0,2,0
両者,1,0,0,0
何か,1,0,1,0
知恵,1,0,0,0
拝借,1,0,0,0
深堀,1,0,0,0
してい,1,0,0,0
意見,2,0,0,0
観光客,5,1,1,0
一つ,1,0,0,0
街,3,0,0,0
昔,1,0,0,0
震災,1,0,0,0
あそこ,1,0,0,0
もの,1,2,0,0
紙,1,0,0,0
きっかけ,1,1,0,0
今,1,2,3,0
高校,1,0,0,0
時,3,1,0,0
相手,1,0,1,0
回数,1,0,0,0
TOEIC,1,0,0,0
機会,1,0,0,0
英会話,7,1,0,0
教室,2,0,0,0
お金,1,0,0,0
週,1,0,0,0
毎日,1,0,0,0
頻度,1,0,0,0
何回,1,0,0,0
環境,1,0,0,0
中,1,0,1,0
組織,1,0,0,0
海外,2,4,1,0
留学,1,0,1,0
大学生,1,0,0,0
休学,1,0,0,0
アメリカ,1,0,0,0
シアトル,1,0,0,0
自分,2,0,5,1
NOVA,1,0,0,0
方,1,6,0,3
いっぱい,1,0,0,0
私,1,1,3,1
チーム,1,0,0,0
ガイドブック,1,0,1,0
観光,2,5,2,0
ホームページ,1,0,0,0
発展,1,0,0,0
定番,1,0,0,0
スポット,2,1,0,0
コミュニケーション,2,4,0,0
文化,1,2,0,0
側,2,0,0,1
共通,1,0,0,0
手段,1,2,2,0
一緒,1,0,1,0
ディープ,1,1,0,0
紹介,1,0,0,0
地元,2,2,1,2
おれ,1,0,0,0
いな,1,0,0,0
おじちゃん,1,0,0,0
大阪,1,0,0,0
レストラン,1,0,0,0
説明,1,1,1,0
現地,1,1,0,0
どっち,1,1,0,2
トリガー,2,0,0,0
旅行客,1,0,1,0
自ら,1,0,0,0
形,2,0,1,0
スクール,3,0,0,0
チラシ,1,0,0,0
不特定,1,0,0,0
多数,1,0,0,0
要,2,1,1,0
先生,1,0,0,0
中間,1,0,0,0
地点,1,0,0,0
カフェ,0,3,7,1
講師,0,1,0,0
街角,0,1,0,0
興味,0,2,0,0
ティッシュ,0,1,0,0
winwin,0,1,0,0
らな,0,1,0,0
マッチング,0,4,5,3
機能,0,4,0,0
体験,0,1,0,0
価値,0,1,0,0
提供,0,1,0,0
日本人,0,1,0,0
異国,0,1,0,0
語,0,1,0,0
手軽,0,1,0,0
空港,0,8,2,0
場所,0,6,1,0
誘導,0,1,0,0
もともと,0,1,0,0
案内,0,1,2,1
サービス,0,1,1,0
アプリ,0,2,3,0
正直,0,1,0,0
お墨付き,0,1,0,0
神戸市,0,1,1,0
地域,0,1,1,0
連携,0,1,0,0
運営,0,1,0,0
信頼,0,1,0,0
生田神社,0,1,0,0
境内,0,1,0,0
マニュアル,0,1,0,0
用意,0,1,0,0
お寺,0,1,0,0
たいへん,0,1,0,0
歴史,0,1,0,0
パンフレット,0,1,0,0
スペース,0,1,0,0
暇,0,1,0,0
タイミング,0,1,0,0
ため,0,1,0,0
何,0,1,0,0
相談,0,1,0,0
今度,0,1,0,0
収集,0,1,0,0
F,0,1,1,0
登録,0,1,6,5
何人,0,1,0,0
看板,0,1,0,0
店先,0,0,1,0
スマホ,0,0,1,0
お互い,0,0,1,0
反応,0,0,2,0
