"","time1","time2","time3","time4","time1","time2","time3","time4","idf"
"ほん",0.00468724473586792,0.00694406627535988,0.00677673937715843,0,0.00416666666666667,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"一",0.0140617342076037,0.00694406627535988,0.0271069575086337,0,0.0125,0.00617283950617284,0.0240963855421687,0,1.1249387366083
"おさらい",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"えと",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"最初",0.00542095831526659,0,0.023512590283084,0,0.00416666666666667,0,0.0180722891566265,0,1.30102999566398
"ネタ",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"僕",0.0216838332610664,0,0.00783753009436133,0,0.0166666666666667,0,0.00602409638554217,0,1.30102999566398
"英語",0.0291666666666667,0.0246913580246914,0.0120481927710843,0.012987012987013,0.0291666666666667,0.0246913580246914,0.0120481927710843,0.012987012987013,1
"旅行",0.0208333333333333,0.00617283950617284,0.0240963855421687,0.051948051948052,0.0208333333333333,0.00617283950617284,0.0240963855421687,0.051948051948052,1
"こと",0.0291666666666667,0.0123456790123457,0.0240963855421687,0.038961038961039,0.0291666666666667,0.0123456790123457,0.0240963855421687,0.038961038961039,1
"ビジネス",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"活用",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"あれ",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"ばー",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"子供",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"双子",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"６",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"その子",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"日本",0.00937448947173583,0.0347203313767994,0.00677673937715843,0,0.00833333333333333,0.0308641975308642,0.00602409638554217,0,1.1249387366083
"場",0.00542095831526659,0,0,0.0168964934501816,0.00416666666666667,0,0,0.012987012987013,1.30102999566398
"勉強",0.0216838332610664,0.0080310493559505,0,0,0.0166666666666667,0.00617283950617284,0,0,1.30102999566398
"仕事",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"合間",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"情報",0.0166666666666667,0.0246913580246914,0.0120481927710843,0.038961038961039,0.0166666666666667,0.0246913580246914,0.0120481927710843,0.038961038961039,1
"発信",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"外国人",0.0140617342076037,0.0277762651014395,0.00677673937715843,0,0.0125,0.0246913580246914,0.00602409638554217,0,1.1249387366083
"友達",0.0234362236793396,0.00694406627535988,0.00677673937715843,0,0.0208333333333333,0.00617283950617284,0.00602409638554217,0,1.1249387366083
"無作為",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"変",0.0108419166305332,0,0.00783753009436133,0,0.00833333333333333,0,0.00602409638554217,0,1.30102999566398
"事件",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"人",0.0833333333333333,0.117283950617284,0.0963855421686747,0.12987012987013,0.0833333333333333,0.117283950617284,0.0963855421686747,0.12987012987013,1
"風",0.0216838332610664,0.016062098711901,0,0,0.0166666666666667,0.0123456790123457,0,0,1.30102999566398
"安全面",0.013350499927733,0,0,0,0.00833333333333333,0,0,0,1.60205999132796
"コミュニティ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"こちら側",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"神戸",0.0542095831526659,0,0.00783753009436133,0,0.0416666666666667,0,0.00602409638554217,0,1.30102999566398
"国際都市",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"外国",0.0328107131510754,0.0208321988260796,0.00677673937715843,0,0.0291666666666667,0.0185185185185185,0.00602409638554217,0,1.1249387366083
"ほとんど",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"本当",0.0200257498915995,0,0,0,0.0125,0,0,0,1.60205999132796
"日本語",0.026700999855466,0,0,0,0.0166666666666667,0,0,0,1.60205999132796
"接点",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"いろいろ",0.00542095831526659,0.0080310493559505,0,0,0.00416666666666667,0.00617283950617284,0,0,1.30102999566398
"壁",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"融合",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"出会い系",0.00542095831526659,0,0.0313501203774453,0,0.00416666666666667,0,0.0240963855421687,0,1.30102999566398
"今回",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"案",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"絵",0.00542095831526659,0,0.0156750601887227,0,0.00416666666666667,0,0.0120481927710843,0,1.30102999566398
"両者",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"何か",0.00542095831526659,0,0.00783753009436133,0,0.00416666666666667,0,0.00602409638554217,0,1.30102999566398
"知恵",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"拝借",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
"深堀",0.00667524996386651,0,0,0,0.00416666666666667,0,0,0,1.60205999132796
